Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dui70.dll

File Type: DLL

  Section contains the following exports for DUI70.dll

    00000000 characteristics
     E9BCC11 time date stamp
        0.00 version
           1 ordinal base
        4321 number of functions
        4321 number of names

    ordinal hint RVA      name

        204   CB 000E59B0 ??0NavigatorSelectionItemProxy@DirectUI@@QEAA@AEBV01@@Z
        205   CC 000E59D0 ??0NavigatorSelectionItemProxy@DirectUI@@QEAA@XZ
        206   CD 0008AAE0 ??0NineGridLayout@DirectUI@@QEAA@AEBV01@@Z
        207   CE 000C4E50 ??0NineGridLayout@DirectUI@@QEAA@XZ
        208   CF 0008AB90 ??0PText@DirectUI@@QEAA@AEBV01@@Z
        209   D0 0008ABE0 ??0PText@DirectUI@@QEAA@XZ
        210   D1 0008AC10 ??0Page@DirectUI@@QEAA@$$QEAV01@@Z
        211   D2 0008AC10 ??0Page@DirectUI@@QEAA@AEBV01@@Z
        212   D3 0008AC40 ??0Page@DirectUI@@QEAA@XZ
        213   D4 0008AC70 ??0Pages@DirectUI@@QEAA@$$QEAV01@@Z
        214   D5 0008AC70 ??0Pages@DirectUI@@QEAA@AEBV01@@Z
        215   D6 0008ACB0 ??0Pages@DirectUI@@QEAA@XZ
        216   D7 00087200 ??0Progress@DirectUI@@QEAA@AEBV01@@Z
        217   D8 00087230 ??0Progress@DirectUI@@QEAA@XZ
        218   D9 000E59F0 ??0ProgressRangeValueProxy@DirectUI@@QEAA@$$QEAV01@@Z
        219   DA 000E59F0 ??0ProgressRangeValueProxy@DirectUI@@QEAA@AEBV01@@Z
        220   DB 000E5A10 ??0ProgressRangeValueProxy@DirectUI@@QEAA@XZ
        221   DC 00046990 ??0ProviderProxy@DirectUI@@IEAA@XZ
        222   DD 00064C50 ??0ProviderProxy@DirectUI@@QEAA@$$QEAV01@@Z
        223   DE 00064C50 ??0ProviderProxy@DirectUI@@QEAA@AEBV01@@Z
        224   DF 00069170 ??0Proxy@DirectUI@@QEAA@AEBV01@@Z
        225   E0 00076F90 ??0Proxy@DirectUI@@QEAA@XZ
        226   E1 0008ACE0 ??0PushButton@DirectUI@@QEAA@$$QEAV01@@Z
        227   E2 0008ACE0 ??0PushButton@DirectUI@@QEAA@AEBV01@@Z
        228   E3 0008AD10 ??0PushButton@DirectUI@@QEAA@XZ
        229   E4 0006F850 ??0RadioButtonGlyph@DirectUI@@QEAA@AEBV01@@Z
        230   E5 000832A0 ??0RadioButtonGlyph@DirectUI@@QEAA@XZ
        231   E6 000E5A30 ??0RangeValueProvider@DirectUI@@QEAA@XZ
        232   E7 000E5A70 ??0RangeValueProxy@DirectUI@@IEAA@XZ
        233   E8 000E5A90 ??0RangeValueProxy@DirectUI@@QEAA@$$QEAV01@@Z
        234   E9 000E5A90 ??0RangeValueProxy@DirectUI@@QEAA@AEBV01@@Z
        235   EA 000898F0 ??0RefPointElement@DirectUI@@QEAA@AEBV01@@Z
        236   EB 00089920 ??0RefPointElement@DirectUI@@QEAA@XZ
        237   EC 00040F80 ??0RefcountBase@DirectUI@@QEAA@XZ
        238   ED 00089EA0 ??0RepeatButton@DirectUI@@QEAA@AEBV01@@Z
        239   EE 00089F00 ??0RepeatButton@DirectUI@@QEAA@XZ
        240   EF 0008AD50 ??0Repeater@DirectUI@@QEAA@$$QEAV01@@Z
        241   F0 0008AD50 ??0Repeater@DirectUI@@QEAA@AEBV01@@Z
        242   F1 0008ADA0 ??0Repeater@DirectUI@@QEAA@XZ
        243   F2 0007F850 ??0ResourceModuleHandles@DirectUI@@QEAA@XZ
        244   F3 0008ADD0 ??0RichText@DirectUI@@QEAA@XZ
        245   F4 0008AEC0 ??0RowLayout@DirectUI@@QEAA@AEBV01@@Z
        246   F5 000C52F0 ??0RowLayout@DirectUI@@QEAA@XZ
        247   F6 0006F880 ??0ScrollBar@DirectUI@@QEAA@AEBV01@@Z
        248   F7 000934D0 ??0ScrollBar@DirectUI@@QEAA@XZ
        249   F8 000E5AB0 ??0ScrollBarRangeValueProxy@DirectUI@@QEAA@$$QEAV01@@Z
        250   F9 000E5AB0 ??0ScrollBarRangeValueProxy@DirectUI@@QEAA@AEBV01@@Z
        251   FA 000E5AD0 ??0ScrollBarRangeValueProxy@DirectUI@@QEAA@XZ
        252   FB 000EA130 ??0ScrollItemProvider@DirectUI@@QEAA@XZ
        253   FC 000EA170 ??0ScrollItemProxy@DirectUI@@QEAA@$$QEAV01@@Z
        254   FD 000EA170 ??0ScrollItemProxy@DirectUI@@QEAA@AEBV01@@Z
        255   FE 000EA190 ??0ScrollItemProxy@DirectUI@@QEAA@XZ
        256   FF 000E5AF0 ??0ScrollProvider@DirectUI@@QEAA@XZ
        257  100 000E5B30 ??0ScrollProxy@DirectUI@@QEAA@$$QEAV01@@Z
        258  101 000E5B30 ??0ScrollProxy@DirectUI@@QEAA@AEBV01@@Z
        259  102 000E5B50 ??0ScrollProxy@DirectUI@@QEAA@XZ
        260  103 0006F920 ??0ScrollViewer@DirectUI@@QEAA@AEBV01@@Z
        261  104 0000B350 ??0ScrollViewer@DirectUI@@QEAA@XZ
        262  105 000E5B70 ??0SelectionItemProvider@DirectUI@@QEAA@XZ
        263  106 000E5A70 ??0SelectionItemProxy@DirectUI@@IEAA@XZ
        264  107 000E5A90 ??0SelectionItemProxy@DirectUI@@QEAA@$$QEAV01@@Z
        265  108 000E5A90 ??0SelectionItemProxy@DirectUI@@QEAA@AEBV01@@Z
        266  109 000EB640 ??0SelectionProvider@DirectUI@@QEAA@XZ
        267  10A 000E5A70 ??0SelectionProxy@DirectUI@@IEAA@XZ
        268  10B 000E5A90 ??0SelectionProxy@DirectUI@@QEAA@$$QEAV01@@Z
        269  10C 000E5A90 ??0SelectionProxy@DirectUI@@QEAA@AEBV01@@Z
        270  10D 00086BA0 ??0Selector@DirectUI@@QEAA@AEBV01@@Z
        271  10E 000BC710 ??0Selector@DirectUI@@QEAA@XZ
        272  10F 00086BD0 ??0SelectorNoDefault@DirectUI@@QEAA@$$QEAV01@@Z
        273  110 00086BD0 ??0SelectorNoDefault@DirectUI@@QEAA@AEBV01@@Z
        274  111 000BC740 ??0SelectorNoDefault@DirectUI@@QEAA@XZ
        275  112 000E5BB0 ??0SelectorSelectionItemProxy@DirectUI@@QEAA@$$QEAV01@@Z
        276  113 000E5BB0 ??0SelectorSelectionItemProxy@DirectUI@@QEAA@AEBV01@@Z
        277  114 000E5BD0 ??0SelectorSelectionItemProxy@DirectUI@@QEAA@XZ
        278  115 000EB680 ??0SelectorSelectionProxy@DirectUI@@QEAA@$$QEAV01@@Z
        279  116 000EB680 ??0SelectorSelectionProxy@DirectUI@@QEAA@AEBV01@@Z
        280  117 000EB6A0 ??0SelectorSelectionProxy@DirectUI@@QEAA@XZ
        281  118 0008AF40 ??0ShellBorderLayout@DirectUI@@QEAA@AEBV01@@Z
        282  119 000339B0 ??0ShellBorderLayout@DirectUI@@QEAA@XZ
        283  11A 000650C0 ??0StyleSheet@DirectUI@@QEAA@$$QEAV01@@Z
        284  11B 000650C0 ??0StyleSheet@DirectUI@@QEAA@AEBV01@@Z
        285  11C 000650C0 ??0StyleSheet@DirectUI@@QEAA@XZ
        286  11D 0006F990 ??0StyledScrollViewer@DirectUI@@QEAA@AEBV01@@Z
        287  11E 00094310 ??0StyledScrollViewer@DirectUI@@QEAA@XZ
        288  11F 00064C30 ??0Surface@DirectUI@@QEAA@AEBV01@@Z
        289  120 00064C30 ??0Surface@DirectUI@@QEAA@XZ
        290  121 000EBD30 ??0TableItemProvider@DirectUI@@QEAA@XZ
        291  122 000EBD70 ??0TableItemProxy@DirectUI@@QEAA@$$QEAV01@@Z
        292  123 000EBD70 ??0TableItemProxy@DirectUI@@QEAA@AEBV01@@Z
        293  124 000EBD90 ??0TableItemProxy@DirectUI@@QEAA@XZ
        294  125 0008AFA0 ??0TableLayout@DirectUI@@QEAA@AEBV01@@Z
        295  126 0008B000 ??0TableLayout@DirectUI@@QEAA@XZ
        296  127 000EC440 ??0TableProvider@DirectUI@@QEAA@XZ
        297  128 000EC480 ??0TableProxy@DirectUI@@QEAA@$$QEAV01@@Z
        298  129 000EC480 ??0TableProxy@DirectUI@@QEAA@AEBV01@@Z
        299  12A 000EC4A0 ??0TableProxy@DirectUI@@QEAA@XZ
        300  12B 0008B020 ??0TaskPage@DirectUI@@QEAA@AEBV01@@Z
        301  12C 000CF3C0 ??0TaskPage@DirectUI@@QEAA@XZ
        302  12D 0008B080 ??0TextGraphic@DirectUI@@QEAA@$$QEAV01@@Z
        303  12E 0008B080 ??0TextGraphic@DirectUI@@QEAA@AEBV01@@Z
        304  12F 0008B0D0 ??0TextGraphic@DirectUI@@QEAA@XZ
        305  130 0006F9F0 ??0Thumb@DirectUI@@QEAA@AEBV01@@Z
        306  131 000492A0 ??0Thumb@DirectUI@@QEAA@XZ
        307  132 000E6C50 ??0ToggleProvider@DirectUI@@QEAA@XZ
        308  133 000E6C90 ??0ToggleProxy@DirectUI@@QEAA@$$QEAV01@@Z
        309  134 000E6C90 ??0ToggleProxy@DirectUI@@QEAA@AEBV01@@Z
