Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    5960D576 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1007 number of names

    ordinal hint RVA      name

       1805  12B 00081F20 GetClassLongA
       1806  12C 00081F80 GetClassLongPtrA
       1807  12D 00007730 GetClassLongPtrW
       1808  12E 0000AB40 GetClassLongW
       1809  12F 00081650 GetClassNameA
       1810  130 00026D70 GetClassNameW
       1811  131 00006FC0 GetClassWord
       1812  132 0001ED40 GetClientRect
       1813  133 00033C60 GetClipCursor
       1814  134 00033C70 GetClipboardAccessToken
       1815  135 0002B900 GetClipboardData
       1816  136 0007ABD0 GetClipboardFormatNameA
       1817  137 0002D0D0 GetClipboardFormatNameW
       1818  138 000322B0 GetClipboardOwner
       1819  139 0002CFF0 GetClipboardSequenceNumber
       1820  13A 0007BDA0 GetClipboardViewer
       1821  13B 00033C80 GetComboBoxInfo
       1822  13C 00033C90 GetCurrentInputMessageSource
       1823  13D 00033CA0 GetCursor
       1824  13E 0002CD20 GetCursorFrameInfo
       1825  13F 00033CB0 GetCursorInfo
       1826  140 00001650 GetCursorPos
       1827  141 00027750 GetDC
       1828  142 00033CC0 GetDCEx
       1829  143 00033CD0 GetDesktopID
       1830  144 00004280 GetDesktopWindow
       1831  145 00032150 GetDialogBaseUnits
       1832  146 000570C0 GetDialogControlDpiChangeBehavior
       1833  147 000570F0 GetDialogDpiChangeBehavior
       1834  148 00033CE0 GetDisplayAutoRotationPreferences
       1835  149 00029500 GetDisplayConfigBufferSizes
       1836  14A 00022540 GetDlgCtrlID
       1837  14B 00021AA0 GetDlgItem
       1838  14C 000312B0 GetDlgItemInt
       1839  14D 00081FE0 GetDlgItemTextA
       1840  14E 000313F0 GetDlgItemTextW
       1841  14F 00033D00 GetDoubleClickTime
       1842  150 00028450 GetDpiForMonitorInternal
       1843  151 00013910 GetDpiForSystem
       1844  152 0000D280 GetDpiForWindow
       1845  153 0007E040 GetDpiFromDpiAwarenessContext
       1846  154 00026E30 GetFocus
       1847  155 00033D10 GetForegroundWindow
       1848  156 00033D20 GetGUIThreadInfo
       1849  157 00033D30 GetGestureConfig
       1850  158 0004CD70 GetGestureExtraArgs
       1851  159 0004CD90 GetGestureInfo
       1852  15A 00033D40 GetGuiResources
       1853  15B 00017D30 GetIconInfo
       1854  15C 0004E990 GetIconInfoExA
       1855  15D 0002AAA0 GetIconInfoExW
       1856  15E 0007E060 GetInputDesktop
       1857  15F 00033D50 GetInputLocaleInfo
       1858  160 000797C0 GetInputState
       1859  161 00033D90 GetInternalWindowPos
       1860  162 0007E080 GetKBCodePage
       1861  163 0007AC70 GetKeyNameTextA
       1862  164 0002CB40 GetKeyNameTextW
       1863  165 00022080 GetKeyState
       1864  166 00027FF0 GetKeyboardLayout
       1865  167 00033DA0 GetKeyboardLayoutList
       1866  168 0007AD20 GetKeyboardLayoutNameA
       1867  169 0002C7C0 GetKeyboardLayoutNameW
       1868  16A 00033DB0 GetKeyboardState
       1869  16B 00031F50 GetKeyboardType
       1870  16C 00028F50 GetLastActivePopup
       1871  16D 00028040 GetLastInputInfo
       1872  16E 00033DC0 GetLayeredWindowAttributes
       1873  16F 00033DD0 GetListBoxInfo
       1874  170 0006D750 GetMagnificationDesktopColorEffect
       1875  171 0006D830 GetMagnificationDesktopMagnification
       1876  172 0006D8C0 GetMagnificationDesktopSamplingMode
       1877  173 00033DE0 GetMagnificationLensCtxInformation
       1878  174 0002AC80 GetMenu
       1879  175 00033DF0 GetMenuBarInfo
       1880  176 0006F960 GetMenuCheckMarkDimensions
       1881  177 0006F9A0 GetMenuContextHelpId
       1882  178 00028E70 GetMenuDefaultItem
       1883  179 0004D3D0 GetMenuInfo
       1884  17A 0000E170 GetMenuItemCount
       1885  17B 0002A740 GetMenuItemID
       1886  17C 00082030 GetMenuItemInfoA
       1887  17D 0000DC00 GetMenuItemInfoW
       1888  17E 00033E00 GetMenuItemRect
       1889  17F 0002E860 GetMenuState
       1890  180 00082130 GetMenuStringA
       1891  181 00030F30 GetMenuStringW
       1892  182 00028C10 GetMessageA
       1893  183 0002AD80 GetMessageExtraInfo
       1894  184 0002B0C0 GetMessagePos
       1895  185 00029D70 GetMessageTime
       1896  186 00022F90 GetMessageW
       1897  187 0002DA70 GetMonitorInfoA
       1898  188 00011E80 GetMonitorInfoW
       1899  189 00033E10 GetMouseMovePointsEx
       1900  18A 00057580 GetNextDlgGroupItem
       1901  18B 00002080 GetNextDlgTabItem
       1902  18C 0002D3E0 GetOpenClipboardWindow
       1903  18D 0001F2F0 GetParent
       1904  18E 00001650 GetPhysicalCursorPos
       1905  18F 00033E40 GetPointerCursorId
       1906  190 00033E50 GetPointerDevice
       1907  191 00033E60 GetPointerDeviceCursors
       1908  192 00033E70 GetPointerDeviceProperties
       1909  193 00033E80 GetPointerDeviceRects
       1910  194 00033E90 GetPointerDevices
       1911  195 00033EA0 GetPointerFrameArrivalTimes
       1912  196 0004DE60 GetPointerFrameInfo
       1913  197 0004DEB0 GetPointerFrameInfoHistory
       1914  198 0004DEF0 GetPointerFramePenInfo
       1915  199 0004DF40 GetPointerFramePenInfoHistory
       1916  19A 0004DF80 GetPointerFrameTouchInfo
       1917  19B 0004DFD0 GetPointerFrameTouchInfoHistory
       1918  19C 0004E010 GetPointerInfo
       1919  19D 0004E060 GetPointerInfoHistory
       1920  19E 00033EB0 GetPointerInputTransform
       1921  19F 0004E0B0 GetPointerPenInfo
       1922  1A0 0004E100 GetPointerPenInfoHistory
       1923  1A1 0004E150 GetPointerTouchInfo
       1924  1A2 0004E1A0 GetPointerTouchInfoHistory
       1925  1A3 00033EC0 GetPointerType
       1926  1A4 0007BDC0 GetPriorityClipboardFormat
       1927  1A5 0002D370 GetProcessDefaultLayout
       1928  1A6 0002BFE0 GetProcessDpiAwarenessInternal
       2521  1A7 00033EE0 GetProcessUIContextInformation
       1929  1A8 00033EF0 GetProcessWindowStation
       1930  1A9 0007E090 GetProgmanWindow
       1931  1AA 0002D8D0 GetPropA
       1932  1AB 00004100 GetPropW
       1933  1AC 0001F760 GetQueueStatus
       1934  1AD 00066AD0 GetRawInputBuffer
       1935  1AE 00033F10 GetRawInputData
       1936  1AF 00082180 GetRawInputDeviceInfoA
       1937  1B0 000321A0 GetRawInputDeviceInfoW
       1938  1B1 00033F20 GetRawInputDeviceList
       1939  1B2 00033F30 GetRawPointerDeviceData
       1940  1B3 00032700 GetReasonTitleFromReasonCode
       1941  1B4 00033F40 GetRegisteredRawInputDevices
       1942  1B5 00033F60 GetScrollBarInfo
       1943  1B6 0000EB50 GetScrollInfo
       1944  1B7 000797F0 GetScrollPos
       1945  1B8 00079870 GetScrollRange
       1946  1B9 0007E0F0 GetSendMessageReceiver
       1947  1BA 0002C780 GetShellChangeNotifyWindow
       1948  1BB 00028D30 GetShellWindow
       1949  1BC 00029CD0 GetSubMenu
       1950  1BD 00018DA0 GetSysColor
       1951  1BE 00029740 GetSysColorBrush
       1952  1BF 00033F70 GetSystemDpiForProcess
       1953  1C0 00033F80 GetSystemMenu
       1954  1C1 0001F950 GetSystemMetrics
       1955  1C2 00014B70 GetSystemMetricsForDpi
       1956  1C3 00054740 GetTabbedTextExtentA
       1957  1C4 00054830 GetTabbedTextExtentW
       1958  1C5 0002D390 GetTaskmanWindow
       1959  1C6 00033F90 GetThreadDesktop
       1960  1C7 00026E60 GetThreadDpiAwarenessContext
       1961  1C8 0007E110 GetThreadDpiHostingBehavior
       1962  1C9 00033FA0 GetTitleBarInfo
       1963  1CA 00033FB0 GetTopLevelWindow
       1964  1CB 0002D6C0 GetTopWindow
       1965  1CC 0004F140 GetTouchInputInfo
       1966  1CD 0007E150 GetUnpredictedMessagePos
       1967  1CE 0002B240 GetUpdateRect
       1968  1CF 0007E170 GetUpdateRgn
       1969  1D0 0007BDE0 GetUpdatedClipboardFormats
       1970  1D1 0002CC00 GetUserObjectInformationA
       1971  1D2 00033FD0 GetUserObjectInformationW
       1972  1D3 0007E200 GetUserObjectSecurity
       1973  1D4 0007E240 GetWinStationInfo
       1974  1D5 00007590 GetWindow
       1975  1D6 00033FE0 GetWindowBand
       1976  1D7 00033FF0 GetWindowCompositionAttribute
       1977  1D8 00034000 GetWindowCompositionInfo
       1978  1D9 0007E260 GetWindowContextHelpId
       1979  1DA 00034010 GetWindowDC
       1980  1DB 00034020 GetWindowDisplayAffinity
       1981  1DC 0000D160 GetWindowDpiAwarenessContext
       1982  1DD 0007E280 GetWindowDpiHostingBehavior
       1983  1DE 00034030 GetWindowFeedbackSetting
       1984  1DF 000145D0 GetWindowInfo
       1985  1E0 00009130 GetWindowLongA
       1986  1E1 0000B2A0 GetWindowLongPtrA
       1987  1E2 0000B690 GetWindowLongPtrW
       1988  1E3 0000B440 GetWindowLongW
       1989  1E4 00034050 GetWindowMinimizeRect
       1990  1E5 000822A0 GetWindowModuleFileName
       1991  1E6 000822A0 GetWindowModuleFileNameA
       1992  1E7 0007F070 GetWindowModuleFileNameW
       1993  1E8 00034060 GetWindowPlacement
       1994  1E9 00034070 GetWindowProcessHandle
       1995  1EA 00011900 GetWindowRect
       1996  1EB 000016F0 GetWindowRgn
       1997  1EC 000078A0 GetWindowRgnBox
       1998  1ED 00034080 GetWindowRgnEx
       1999  1EE 000063E0 GetWindowTextA
       2000  1EF 000822E0 GetWindowTextLengthA
       2003  1F0 00008710 GetWindowTextLengthW
       2004  1F1 00009540 GetWindowTextW
       2006  1F2 00006E70 GetWindowThreadProcessId
       2007  1F3 00079930 GetWindowWord
       2008  1F4 00034090 GhostWindowFromHungWindow
       2009  1F5 0007E2E0 GrayStringA
       2011  1F6 0007E340 GrayStringW
       2505  1F7 000340A0 HandleDelegatedInput
       2012  1F8 000284A0 HideCaret
       2013  1F9 000340C0 HiliteMenuItem
       2014  1FA 000340D0 HungWindowFromGhostWindow
       2015  1FB 0007B3D0 IMPGetIMEA
       2016  1FC 0007B3F0 IMPGetIMEW
       2017  1FD 0007B410 IMPQueryIMEA
       2018  1FE 0007B430 IMPQueryIMEW
       2019  1FF 0007B450 IMPSetIMEA
       2020  200 0007B470 IMPSetIMEW
       2021  201 000340E0 ImpersonateDdeClientWindow
       2022  202 000289F0 InSendMessage
       2023  203 00025060 InSendMessageEx
       2024  204 00026DA0 InflateRect
       2025  205 000340F0 InheritWindowMonitor
       2026  206 000244F0 InitDManipHook
       2027  207 00034100 InitializeGenericHidInjection
       2028  208 00034110 InitializeInputDeviceInjection
       2029  209 000280C0 InitializeLpkHooks
       2030  20A 00034120 InitializePointerDeviceInjection
