Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\IPHLPAPI.DLL

File Type: DLL

  Section contains the following exports for IPHLPAPI.DLL

    00000000 characteristics
    55458551 time date stamp
        0.00 version
           1 ordinal base
         293 number of functions
         293 number of names

    ordinal hint RVA      name

        200   C7 0001CD20 InternalGetTcpTableEx
        201   C8 0001CD60 InternalGetTcpTableWithOwnerModule
        202   C9 0001CDA0 InternalGetTcpTableWithOwnerPid
        203   CA 00020520 InternalGetTunnelPhysicalAdapter
        204   CB 0001CDE0 InternalGetUdp6TableWithOwnerModule
        205   CC 0001CE20 InternalGetUdp6TableWithOwnerPid
        206   CD 0001CE60 InternalGetUdpTable
        207   CE 0001CEA0 InternalGetUdpTableEx
        208   CF 0001CEE0 InternalGetUdpTableWithOwnerModule
        209   D0 0001CF20 InternalGetUdpTableWithOwnerPid
        210   D1 000263E0 InternalGetUnicastIpAddressEntry
        211   D2 000263F0 InternalGetUnicastIpAddressTable
        212   D3 0001CF60 InternalIcmpCreateFileEx
        213   D4 0001CF90 InternalSetIfEntry
        214   D5 0001CFA0 InternalSetIpForwardEntry
        215   D6 00027630 InternalSetIpForwardEntry2
        216   D7 00029240 InternalSetIpInterfaceEntry
        217   D8 0001CFC0 InternalSetIpNetEntry
        218   D9 00027E90 InternalSetIpNetEntry2
        219   DA 0001CFE0 InternalSetIpStats
        220   DB 0001D000 InternalSetTcpEntry
        221   DC 000295D0 InternalSetTeredoPort
        222   DD 000266B0 InternalSetUnicastIpAddressEntry
        223   DE 0001E890 IpReleaseAddress
        224   DF 0001E8E0 IpRenewAddress
        225   E0 00020300 LookupPersistentTcpPortReservation
        226   E1 00020340 LookupPersistentUdpPortReservation
        227   E2 0001ED30 NTPTimeToNTFileTime
        228   E3 0001EDD0 NTTimeToNTPTime
        229   E4 0001C2E0 NhGetGuidFromInterfaceName
        230   E5 0001C310 NhGetInterfaceDescriptionFromGuid
        231   E6 00009610 NhGetInterfaceNameFromDeviceGuid
        232   E7 00009610 NhGetInterfaceNameFromGuid
        233   E8 0001B000 NhpAllocateAndGetInterfaceInfoFromStack
        234   E9 00001370 NotifyAddrChange
        235   EA 00025340 NotifyCompartmentChange
        236   EB 00024B30 NotifyIfTimestampConfigChange
        237   EC 00002B60 NotifyIpInterfaceChange
        238   ED 0001E930 NotifyRouteChange
        239   EE 0000DBD0 NotifyRouteChange2
        240   EF 00026EA0 NotifyStableUnicastIpAddressTable
        241   F0 00029650 NotifyTeredoPortChange
        242   F1 00002A60 NotifyUnicastIpAddressChange
        243   F2 000253F0 OpenCompartment
        244   F3 00008C60 ParseNetworkString
        245   F4 0001F1B0 PfAddFiltersToInterface
        246   F5 0001F1B0 PfAddGlobalFilterToInterface
        247   F6 0001F1B0 PfBindInterfaceToIPAddress
        248   F7 0001F1B0 PfBindInterfaceToIndex
        249   F8 0001F1B0 PfCreateInterface
        250   F9 0001F1B0 PfDeleteInterface
        251   FA 0001F1B0 PfDeleteLog
        252   FB 0001F1B0 PfGetInterfaceStatistics
        253   FC 0001F1B0 PfMakeLog
        254   FD 0001F1B0 PfRebindFilters
        255   FE 0001F1B0 PfRemoveFilterHandles
        256   FF 0001F1B0 PfRemoveFiltersFromInterface
        257  100 0001F1B0 PfRemoveGlobalFilterFromInterface
        258  101 0001F1B0 PfSetLogBuffer
        259  102 0001F1B0 PfTestPacket
        260  103 0001F1B0 PfUnBindInterface
        261  104 0000DCB0 ResolveIpNetEntry2
        262  105 0001E970 ResolveNeighbor
        263  106 000095F0 RestoreMediaSense
        264  107 0001E980 SendARP
        265  108 0001D010 SetAdapterIpAddress
        266  109 00025570 SetCurrentThreadCompartmentId
        267  10A 00008C00 SetCurrentThreadCompartmentScope
        268  10B 00028CA0 SetDnsSettings
        269  10C 0001C430 SetIfEntry
        270  10D 00028D70 SetInterfaceDnsSettings
        271  10E 0001EA60 SetIpForwardEntry
        272  10F 000278E0 SetIpForwardEntry2
        273  110 00029530 SetIpInterfaceEntry
        274  111 0001EA70 SetIpNetEntry
