Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase_enclave.dll

File Type: DLL

  Section contains the following exports for ucrtbase_enclave.dll

    00000000 characteristics
    8B7FEE4D time date stamp
        0.00 version
           1 ordinal base
         785 number of functions
         785 number of names

    ordinal hint RVA      name

        383  17E 00036690 _wcsupr
        384  17F 00036700 _wcsupr_l
        385  180 00036730 _wcsupr_s
        386  181 00036740 _wcsupr_s_l
        387  182 000367A0 _wcsxfrm_l
        388  183 0000D980 _wctomb_l
        389  184 0000D7A0 _wctomb_s_l
        390  185 00065320 _wctype
        391  186 00003CF0 _wtof
        392  187 00003CE0 _wtof_l
        393  188 000070A0 _wtoi
        394  189 00007110 _wtoi64
        395  18A 00007140 _wtoi64_l
        396  18B 000070D0 _wtoi_l
        397  18C 000070A0 _wtol
        398  18D 000070D0 _wtol_l
        399  18E 00007110 _wtoll
        400  18F 00007140 _wtoll_l
        401  190 000232E0 _y0
        402  191 00023480 _y1
        403  192 000237B0 _yn
        404  193 000133E0 abort
        405  194 00021A50 abs
        406  195 0003DFB0 acos
        407  196 0003E260 acosf
        408  197 00022A90 acosh
        409  198 00022B70 acoshf
        410  199 00022A90 acoshl
        411  19A 0003E4C0 asin
        412  19B 0003E760 asinf
        413  19C 00022C40 asinh
        414  19D 00022D10 asinhf
        415  19E 00022C40 asinhl
        416  19F 0003E990 atan
        417  1A0 0003EBB0 atan2
        418  1A1 0003F2E0 atan2f
        419  1A2 0003F700 atanf
        420  1A3 00022DE0 atanh
        421  1A4 00022EA0 atanhf
        422  1A5 00022DE0 atanhl
        423  1A6 00003CD0 atof
        424  1A7 00006FC0 atoi
        425  1A8 00006FC0 atol
        426  1A9 00007030 atoll
        427  1AA 00021A80 bsearch
        428  1AB 00021BA0 bsearch_s
        429  1AC 0000B7B0 btowc
        430  1AD 00008760 c16rtomb
        431  1AE 00008830 c32rtomb
        432  1AF 00023950 cabs
        433  1B0 00023900 cabsf
        434  1B1 00023930 cabsl
        435  1B2 00023970 cacos
        436  1B3 00023C10 cacosf
        437  1B4 00023E80 cacosh
        438  1B5 00024190 cacoshf
        439  1B6 00023E80 cacoshl
        440  1B7 00023970 cacosl
        441  1B8 000101D0 calloc
        442  1B9 00024480 carg
        443  1BA 000244A0 cargf
        444  1BB 00024480 cargl
        445  1BC 000244D0 casin
        446  1BD 00024540 casinf
        447  1BE 000245B0 casinh
        448  1BF 00024870 casinhf
        449  1C0 000245B0 casinhl
        450  1C1 000244D0 casinl
        451  1C2 00024B10 catan
        452  1C3 00024B80 catanf
        453  1C4 00024BF0 catanh
        454  1C5 00024F50 catanhf
        455  1C6 00024BF0 catanhl
        456  1C7 00024B10 catanl
        457  1C8 00025280 cbrt
        458  1C9 00025400 cbrtf
        459  1CA 00025280 cbrtl
        460  1CB 00025550 ccos
        461  1CC 000255A0 ccosf
        462  1CD 000255E0 ccosh
        463  1CE 00025890 ccoshf
        464  1CF 00025B50 ccoshl
        465  1D0 00025E00 ccosl
        466  1D1 0003F910 ceil
        467  1D2 0003F9E0 ceilf
        468  1D3 00025E50 cexp
        469  1D4 00026030 cexpf
        470  1D5 00026200 cexpl
        471  1D6 000263E0 cimag
        472  1D7 000263F0 cimagf
        473  1D8 000263E0 cimagl
        474  1D9 00026430 clog
        475  1DA 00026670 clog10
        476  1DB 000266D0 clog10f
        477  1DC 00026670 clog10l
        478  1DD 00026740 clogf
        479  1DE 00026430 clogl
        480  1DF 00026960 conj
        481  1E0 00026990 conjf
        482  1E1 00026960 conjl
        483  1E2 00026A40 copysign
        484  1E3 00026A90 copysignf
        485  1E4 00026A40 copysignl
        486  1E5 00036A10 cos
        487  1E6 00036F90 cosf
        488  1E7 0003FA70 cosh
        489  1E8 0003FF10 coshf
        490  1E9 00026AD0 cpow
        491  1EA 00026C30 cpowf
        492  1EB 00026DA0 cpowl
        493  1EC 00026E80 cproj
        494  1ED 00026F40 cprojf
        495  1EE 00026E80 cprojl
        496  1EF 00026FF0 creal
        497  1F0 00027000 crealf
        498  1F1 00026FF0 creall
        499  1F2 00027040 csin
        500  1F3 000270B0 csinf
        501  1F4 00027120 csinh
        502  1F5 00027410 csinhf
        503  1F6 000276E0 csinhl
        504  1F7 000279D0 csinl
        505  1F8 00027A40 csqrt
        506  1F9 00027E00 csqrtf
        507  1FA 00027A40 csqrtl
        508  1FB 000281E0 ctan
        509  1FC 00028250 ctanf
        510  1FD 000282C0 ctanh
        511  1FE 00028460 ctanhf
        512  1FF 000282C0 ctanhl
        513  200 000281E0 ctanl
        514  201 00021D90 div
