Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\gdi32full.dll

File Type: DLL

  Section contains the following exports for gdi32full.dll

    00000000 characteristics
    6E3B72C0 time date stamp
        0.00 version
        1000 ordinal base
        1221 number of functions
        1211 number of names

    ordinal hint RVA      name

       1435  1A9 0003EE50 NtGdiBRUSHOBJ_DeleteRbrush
       1436  1AA 0003EE60 NtGdiBRUSHOBJ_hGetColorTransform
       1437  1AB 0003EE70 NtGdiBRUSHOBJ_pvAllocRbrush
       1438  1AC 0003EE80 NtGdiBRUSHOBJ_pvGetRbrush
       1439  1AD 0003EE90 NtGdiBRUSHOBJ_ulGetBrushColor
       1440  1AE 0003EEA0 NtGdiBeginGdiRendering
       1441  1AF 0003EEB0 NtGdiBeginPath
       1442  1B0 0003EEC0 NtGdiBitBlt
       1443  1B1 0003EED0 NtGdiCLIPOBJ_bEnum
       1444  1B2 0003EEE0 NtGdiCLIPOBJ_cEnumStart
       1445  1B3 0003EEF0 NtGdiCLIPOBJ_ppoGetPath
       1446  1B4 0003EF00 NtGdiCancelDC
       1447  1B5 0003EF10 NtGdiChangeGhostFont
       1448  1B6 0003EF20 NtGdiCheckBitmapBits
       1449  1B7 0003EF30 NtGdiClearBitmapAttributes
       1450  1B8 0003EF40 NtGdiClearBrushAttributes
       1451  1B9 0003EF50 NtGdiCloseFigure
       1452  1BA 0003EF60 NtGdiColorCorrectPalette
       1453  1BB 0003EF70 NtGdiCombineRgn
       1454  1BC 0003EF80 NtGdiCombineTransform
       1455  1BD 0003EF90 NtGdiComputeXformCoefficients
       1456  1BE 0003EFA0 NtGdiConfigureOPMProtectedOutput
       1457  1BF 0003EFB0 NtGdiConvertMetafileRect
       1458  1C0 0003EFC0 NtGdiCreateBitmap
       1459  1C1 0003EFD0 NtGdiCreateBitmapFromDxSurface
       1460  1C2 0003EFE0 NtGdiCreateBitmapFromDxSurface2
       1461  1C3 0003EFF0 NtGdiCreateClientObj
       1462  1C4 0003F000 NtGdiCreateColorSpace
       1463  1C5 0003F010 NtGdiCreateColorTransform
       1464  1C6 0003F020 NtGdiCreateCompatibleBitmap
       1465  1C7 0003F030 NtGdiCreateCompatibleDC
       1466  1C8 0003F040 NtGdiCreateDIBBrush
       1467  1C9 0003F050 NtGdiCreateDIBSection
       1468  1CA 0003F060 NtGdiCreateDIBitmapInternal
       1469  1CB 0003F070 NtGdiCreateEllipticRgn
       1470  1CC 0003EC80 NtGdiCreateHalftonePalette
       1471  1CD 0003F080 NtGdiCreateHatchBrushInternal
       1472  1CE 0003F090 NtGdiCreateMetafileDC
       1473  1CF 0003F0A0 NtGdiCreateOPMProtectedOutput
       1474  1D0 0003F0B0 NtGdiCreateOPMProtectedOutputs
       1475  1D1 0003F0C0 NtGdiCreatePaletteInternal
       1476  1D2 0003F0D0 NtGdiCreatePatternBrushInternal
       1477  1D3 0003F0E0 NtGdiCreatePen
       1478  1D4 0003F0F0 NtGdiCreateRectRgn
       1479  1D5 0003F100 NtGdiCreateRoundRectRgn
       1480  1D6 0003F110 NtGdiCreateServerMetaFile
       1481  1D7 0003F120 NtGdiCreateSessionMappedDIBSection
       1482  1D8 0003F130 NtGdiCreateSolidBrush
       1483  1D9 00030600 NtGdiD3dContextCreate
       1484  1DA 00030600 NtGdiD3dContextDestroy
       1485  1DB 00030600 NtGdiD3dContextDestroyAll
       1486  1DC 00030600 NtGdiD3dDrawPrimitives2
       1487  1DD 00030600 NtGdiD3dValidateTextureStageState
       1488  1DE 0003F140 NtGdiDDCCIGetCapabilitiesString
       1489  1DF 0003F150 NtGdiDDCCIGetCapabilitiesStringLength
       1490  1E0 0003F160 NtGdiDDCCIGetTimingReport
