Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedynos.dll

File Type: DLL

  Section contains the following exports for framedynos.dll

    00000000 characteristics
    29F94FA1 time date stamp
        0.00 version
           1 ordinal base
         611 number of functions
         611 number of names

    ordinal hint RVA      name

        252   FB 00002840 ?Find@CHString@@QEBAHPEBG@Z
        253   FC 00027E00 ?FindOneOf@CHString@@QEBAHPEBG@Z
        254   FD 00003150 ?Flush@Provider@@MEAAXXZ
        255   FE 0000C920 ?FlushAll@CWbemProviderGlue@@AEAAXXZ
        256   FF 00027E30 ?Format@CHString@@QEAAXIZZ
        257  100 000016D0 ?Format@CHString@@QEAAXPEBGZZ
        258  101 00027E30 ?FormatMessageW@CHString@@QEAAXIZZ
        259  102 00027E50 ?FormatMessageW@CHString@@QEAAXPEBGZZ
        260  103 00001700 ?FormatV@CHString@@QEAAXPEBGPEAD@Z
        261  104 00022710 ?FrameworkLogin@CWbemProviderGlue@@SAXPEBGPEAVProvider@@0@Z
        262  105 00022800 ?FrameworkLoginDLL@CWbemProviderGlue@@SAHPEBG@Z
        263  106 00003400 ?FrameworkLoginDLL@CWbemProviderGlue@@SAHPEBGPEAJ@Z
        264  107 00008990 ?FrameworkLogoff@CWbemProviderGlue@@SAXPEBG0@Z
        265  108 00022810 ?FrameworkLogoffDLL@CWbemProviderGlue@@SAHPEBG@Z
        266  109 00003460 ?FrameworkLogoffDLL@CWbemProviderGlue@@SAHPEBGPEAJ@Z
        267  10A 0000E830 ?Free@CObjectPathParser@@QEAAXPEAUParsedObjectPath@@@Z
        268  10B 00028D00 ?FreeExtra@CHPtrArray@@QEAAXXZ
        269  10C 00027F30 ?FreeExtra@CHString@@QEAAXXZ
        270  10D 00028D00 ?FreeExtra@CHStringArray@@QEAAXXZ
        271  10E 00029950 ?FreeSearchList@CRegistrySearch@@QEAAHHAEAVCHPtrArray@@@Z
        272  10F 00022820 ?GetAllDerivedInstances@CWbemProviderGlue@@SAJPEBGPEAV?$TRefPointerCollection@VCInstance@@@@PEAVMethodContext@@0@Z
        273  110 000228B0 ?GetAllDerivedInstancesAsynch@CWbemProviderGlue@@SAJPEBGPEAVProvider@@P6AJ1PEAVCInstance@@PEAVMethodContext@@PEAX@Z034@Z
        274  111 00022960 ?GetAllInstances@CWbemProviderGlue@@SAJPEBGPEAV?$TRefPointerCollection@VCInstance@@@@0PEAVMethodContext@@@Z
        275  112 00022A00 ?GetAllInstancesAsynch@CWbemProviderGlue@@SAJPEBGPEAVProvider@@P6AJ1PEAVCInstance@@PEAVMethodContext@@PEAX@Z034@Z
        276  113 0001CF50 ?GetAllocLength@CHString@@QEBAHXZ
        277  114 00002C80 ?GetAt@CHPtrArray@@QEBAPEAXH@Z
        278  115 00011DE0 ?GetAt@CHString@@QEBAGH@Z
        279  116 00002470 ?GetAt@CHStringArray@@QEBA?AVCHString@@H@Z
        280  117 00028530 ?GetBSTR@WBEMTime@@QEBAPEAGXZ
        281  118 00028540 ?GetBSTR@WBEMTimeSpan@@QEBAPEAGXZ
        282  119 0000BC50 ?GetBuffer@CHString@@QEAAPEAGH@Z
        283  11A 0000BC10 ?GetBufferSetLength@CHString@@QEAAPEAGH@Z
        284  11B 0001EB20 ?GetByte@CInstance@@QEBA_NPEBGAEAE@Z
        285  11C 00002190 ?GetCHString@CInstance@@QEBA_NPEBGAEAVCHString@@@Z
        286  11D 0001CF70 ?GetCSDVersion@CWbemProviderGlue@@SAPEBGXZ
        287  11E 0001D6B0 ?GetClassNameW@CRegistry@@QEAAPEAGXZ
        288  11F 0000FBB0 ?GetClassObjectInterface@CInstance@@QEAAPEAUIWbemClassObject@@XZ
        289  120 00005650 ?GetClassObjectInterface@Provider@@AEAAPEAUIWbemClassObject@@PEAVMethodContext@@@Z
        290  121 0000E980 ?GetComputerNameW@CWbemProviderGlue@@CAXAEAVCHString@@@Z
        291  122 000299D0 ?GetCurrentBinaryKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGPEAEPEAK@Z
        292  123 00029A10 ?GetCurrentBinaryKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        293  124 0000CB10 ?GetCurrentBinaryKeyValue@CRegistry@@QEAAKPEBGPEAEPEAK@Z
        294  125 0000C060 ?GetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAK@Z
        295  126 0000B7A0 ?GetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHString@@@Z
        296  127 00029C00 ?GetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHStringArray@@@Z
        297  128 000028A0 ?GetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAK@Z
        298  129 0000B780 ?GetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        299  12A 00029DB0 ?GetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHStringArray@@@Z
        300  12B 00029DD0 ?GetCurrentRawKeyValue@CRegistry@@AEAAKPEAUHKEY__@@PEBGPEAXPEAK3@Z
        301  12C 00029E00 ?GetCurrentRawSubKeyValue@CRegistry@@AEAAKPEBGPEAXPEAK2@Z
        302  12D 0001D6C0 ?GetCurrentSubKeyCount@CRegistry@@QEAAKXZ
