Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

        404   E6 0026D110 SHELL32_CreateFileFolderContextMenu
        405   E7 000C0DA0 SHELL32_CreateLinkInfoW
        406   E8 0026D120 SHELL32_CreatePlaceholderFile
        407   E9 000D2B00 SHELL32_CreateQosRecorder
        408   EA 0026D130 SHELL32_CreateSharePointView
        409   EB 0021A5C0 SHELL32_Create_IEnumUICommand
        410   EC 000C0D80 SHELL32_DestroyLinkInfo
        411   ED 0026D140 SHELL32_EncryptDirectory
        412   EE 0026D150 SHELL32_EncryptedFileKeyInfo
        413   EF 0026D170 SHELL32_EnumCommonTasks
        414   F0 0026D180 SHELL32_FilePlaceholder_BindToPrimaryStream
        415   F1 0026D190 SHELL32_FilePlaceholder_CreateInstance
        416   F2 0026D1A0 SHELL32_FreeEncryptedFileKeyInfo
        417   F3 0026D1C0 SHELL32_GenerateAppID
        418   F4 0026D1D0 SHELL32_GetAppIDRoot
        419   F5 0026D1E0 SHELL32_GetCommandProviderForFolderType
        420   F6 000C0870 SHELL32_GetDPIAdjustedLogicalSize
        421   F7 0026D200 SHELL32_GetDiskCleanupPath
        422   F8 0026D210 SHELL32_GetFileNameFromBrowse
        423   F9 000942E0 SHELL32_GetIconOverlayManager
        424   FA 0026D220 SHELL32_GetLinkInfoData
        425   FB 000A1000 SHELL32_GetPlaceholderStatesFromFileAttributesAndReparsePointTag
        426   FC 0026D240 SHELL32_GetRatingBucket
        427   FD 0026D270 SHELL32_GetSkyDriveNetworkStates
        428   FE 0026D280 SHELL32_GetSqmableFileName
        429   FF 0026D290 SHELL32_GetThumbnailAdornerFromFactory
        430  100 00002600 SHELL32_GetThumbnailAdornerFromFactory2
        431  101 0026D2A0 SHELL32_HandleUnrecognizedFileSystem
        432  102 000B2A50 SHELL32_IconCacheCreate
        433  103 0009EA90 SHELL32_IconCacheDestroy
        434  104 0026D2B0 SHELL32_IconCacheHandleAssociationChanged
        435  105 000C4C50 SHELL32_IconCacheRestore
        436  106 0009A080 SHELL32_IconCache_AboutToExtractIcons
        437  107 0009A010 SHELL32_IconCache_DoneExtractingIcons
        438  108 000C1090 SHELL32_IconCache_ExpandEnvAndSearchPath
        439  109 000B65F0 SHELL32_IconCache_RememberRecentlyExtractedIconsW
        440  10A 00094360 SHELL32_IconOverlayManagerInit
        441  10B 000C3F20 SHELL32_IsGetKeyboardLayoutPresent
        442  10C 000E6C70 SHELL32_IsSystemUpgradeInProgress
        443  10D 000BF5A0 SHELL32_IsValidLinkInfo
        444  10E 0026D2C0 SHELL32_LegacyEnumSpecialTasksByType
        445  10F 0026D2D0 SHELL32_LegacyEnumTasks
        446  110 0005D9F0 SHELL32_LookupBackIconIndex
        447  111 000A4540 SHELL32_LookupFrontIconIndex
        448  112 0026D2E0 SHELL32_NormalizeRating
        449  113 0026D2F0 SHELL32_NotifyLinkTrackingServiceOfMove
        450  114 0018D390 SHELL32_PifMgr_CloseProperties
        451  115 0010A060 SHELL32_PifMgr_GetProperties
        452  116 0010A060 SHELL32_PifMgr_OpenProperties
        453  117 0010A060 SHELL32_PifMgr_SetProperties
        454  118 0026D300 SHELL32_Printers_CreateBindInfo
        455  119 0026D310 SHELL32_Printjob_GetPidl
        456  11A 0026D320 SHELL32_PurgeSystemIcon
        457  11B 00094210 SHELL32_RefreshOverlayImages
        458  11C 000239D0 SHELL32_ResolveLinkInfoW
        459  11D 0026D330 SHELL32_SHAddSparseIcon
        460  11E 0026D340 SHELL32_SHCreateByValueOperationInterrupt
        461  11F 000C4C60 SHELL32_SHCreateDefaultContextMenu
        462  120 0026D350 SHELL32_SHCreateLocalServer
        463  121 000C4EC0 SHELL32_SHCreateShellFolderView
        464  122 0026D360 SHELL32_SHDuplicateEncryptionInfoFile
        465  123 0026D380 SHELL32_SHEncryptFile
        466  124 0026D390 SHELL32_SHFormatDriveAsync
        467  125 0026D3A0 SHELL32_SHGetThreadUndoManager
        468  126 00109EB0 SHELL32_SHGetUserNameW
        469  127 0026D3B0 SHELL32_SHIsVirtualDevice
        470  128 0026D3C0 SHELL32_SHLaunchPropSheet
        471  129 0026D3D0 SHELL32_SHLogILFromFSIL
        472  12A 0026D3E0 SHELL32_SHOpenWithDialog
        473  12B 0026D3F0 SHELL32_SHStartNetConnectionDialogW
        474  12C 0022FC30 SHELL32_SHUICommandFromGUID
        475  12D 0048A0B0 SHELL32_SendToMenu_InvokeTargetedCommand
        476  12E 0048A100 SHELL32_SendToMenu_VerifyTargetedCommand
        477  12F 0026D410 SHELL32_SetPlaceholderReparsePointAttribute
        478  130 0026D430 SHELL32_SetPlaceholderReparsePointAttribute2
        479  131 0026D440 SHELL32_ShowHideIconOnlyOnDesktop
        480  132 0026D450 SHELL32_SimpleRatingToFilterCondition
        481  133 0026D460 SHELL32_StampIconForFile
        482  134 000B5490 SHELL32_SuspendUndo
        483  135 0026D4C0 SHELL32_TryVirtualDiscImageDriveEject
        484  136 0026D500 SHELL32_UpdateFilePlaceholderStates
        485  137 000B5240 SHELL32_VerifySaferTrust
        486  138 0026D900 SHEmptyRecycleBinA
        487  139 0026D990 SHEmptyRecycleBinW
        488  13A 0008E320 SHEnableServiceObject
