Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\uxlib.dll

File Type: DLL

  Section contains the following exports for UXLIB.DLL

    00000000 characteristics
    2B8FF314 time date stamp
        0.00 version
           1 ordinal base
         414 number of functions
         414 number of names

    ordinal hint RVA      name

        153   98 000160D8 ??_7CProductKeyModule@@6B@
        154   99 00016220 ??_7IImageData@@6B@
        155   9A 00016180 ??_7IProductKeyModule@@6B@
        156   9B 00016218 ??_7PIDUtilStringView@@6B@
        157   9C 000026B0 ?Add@?$CSimpleArray@PEAU_BLOCKED_REASON@@V?$CSimpleArrayEqualHelper@PEAU_BLOCKED_REASON@@@ATL@@@ATL@@QEAAHAEBQEAU_BLOCKED_REASON@@@Z
        158   9D 000026B0 ?Add@?$CSimpleArray@PEAVCLocale@@V?$CSimpleArrayEqualHelper@PEAVCLocale@@@ATL@@@ATL@@QEAAHAEBQEAVCLocale@@@Z
        159   9E 00002C90 ?Add@?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAHAEBVCDriverItem@@@Z
        160   9F 000022B0 ?Add@?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAHAEBVCLanguageItem@@@Z
        161   A0 000032F0 ?AllocSysString@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEBAPEAGXZ
        162   A1 000062D0 ?Append@?$CSimpleStringT@G$0A@@ATL@@QEAAXAEBV12@@Z
        163   A2 00006440 ?Append@?$CSimpleStringT@G$0A@@ATL@@QEAAXPEBG@Z
        164   A3 00006380 ?Append@?$CSimpleStringT@G$0A@@ATL@@QEAAXPEBGH@Z
        165   A4 000062F0 ?AppendChar@?$CSimpleStringT@G$0A@@ATL@@QEAAXG@Z
        166   A5 00006A90 ?AppendFormat@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAXIZZ
        167   A6 00006A60 ?AppendFormat@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAXPEBGZZ
        168   A7 00003470 ?AppendFormatV@?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAXPEBGPEAD@Z
        169   A8 00005AD0 ?Attach@?$CSimpleStringT@G$0A@@ATL@@AEAAXPEAUCStringData@2@@Z
        170   A9 0000BD10 ?CanReadMedia@CLoadDriver@@UEAAHXZ
