Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\combase.dll

File Type: DLL

  Section contains the following exports for combase.dll

    00000000 characteristics
    1C3DC270 time date stamp
        0.00 version
           1 ordinal base
         532 number of functions
         451 number of names

    ordinal hint RVA      name

        495  19C 001E5DD0 RoSetErrorReportingFlags
        496  19D 00083240 RoTransformError
        497  19E 001E5E00 RoTransformErrorW
        498  19F 000D3300 RoUninitialize
        499  1A0 00185130 RoUnregisterForApartmentShutdown
        500  1A1 000D9930 SetCleanupFlag
        501  1A2 00081620 SetErrorInfo
        502  1A3 00085320 SetRestrictedErrorInfo
        503  1A4 0006EC50 StringFromCLSID
        504  1A5 0006F2F0 StringFromGUID2
        505  1A6 00091E80 StringFromIID
        506  1A7 00189710 UpdateDCOMSettings
         85  1A8 00189600 UpdateProcessTracing
        507  1A9 000DC300 WdtpInterfacePointer_UserMarshal
        508  1AA 001C99F0 WdtpInterfacePointer_UserMarshal64
        509  1AB 000DC650 WdtpInterfacePointer_UserSize
        510  1AC 001C9B10 WdtpInterfacePointer_UserSize64
        511  1AD 000DC420 WdtpInterfacePointer_UserUnmarshal
        512  1AE 001C9B80 WdtpInterfacePointer_UserUnmarshal64
        513  1AF 000AB050 WindowsCompareStringOrdinal
        514  1B0 00075900 WindowsConcatString
        515  1B1 00077FD0 WindowsCreateString
        516  1B2 00038E70 WindowsCreateStringReference
        517  1B3 00077CA0 WindowsDeleteString
        518  1B4 000C0460 WindowsDeleteStringBuffer
        519  1B5 0003CFB0 WindowsDuplicateString
        520  1B6 000B0350 WindowsGetStringLen
        521  1B7 0007D960 WindowsGetStringRawBuffer
        522  1B8 001E3AB0 WindowsInspectString
        523  1B9 001E3B10 WindowsInspectString2
        524  1BA 00074E00 WindowsIsStringEmpty
        525  1BB 0007B650 WindowsPreallocateStringBuffer
        526  1BC 00039220 WindowsPromoteStringBuffer
        527  1BD 00013570 WindowsReplaceString
        528  1BE 0007D660 WindowsStringHasEmbeddedNull
        529  1BF 000D5250 WindowsSubstring
        530  1C0 000B0740 WindowsSubstringWithSpecifiedLength
        531  1C1 000C64C0 WindowsTrimStringEnd
        532  1C2 001E3B70 WindowsTrimStringStart
          1      00189720 [NONAME]
         63      001E3730 [NONAME]
         64      001E3710 [NONAME]
         65      00014E60 [NONAME]
         66      000BEDF0 [NONAME]
         67      000B79D0 [NONAME]
         68      000B0FE0 [NONAME]
         69      000BEBC0 [NONAME]
         70      00185C60 [NONAME]
         71      00185EA0 [NONAME]
         79      001FE280 [NONAME]
         80      001F34A0 [NONAME]
         81      001F3350 [NONAME]
         86      00017A30 [NONAME]
         87      00063230 [NONAME]
         88      000179B0 [NONAME]
         90      000C30D0 [NONAME]
         92      0019A700 [NONAME]
         93      000DC090 [NONAME]
         95      00185710 [NONAME]
         96      00191DD0 [NONAME]
         97      00198DA0 [NONAME]
         98      00198DD0 [NONAME]
         99      000D9650 [NONAME]
        100      000D9970 [NONAME]
        101      000D3AE0 [NONAME]
        102      000D3AB0 [NONAME]
        103      001C1280 [NONAME]
        104      001C0C40 [NONAME]
        110      00017490 [NONAME]
        111      0001B710 [NONAME]
        112      0009E600 [NONAME]
        120      000BDED0 [NONAME]
        121      00185DB0 [NONAME]
        122      000BE160 [NONAME]
        123      00191C30 [NONAME]
        124      00191C70 [NONAME]
        125      00191C90 [NONAME]
        126      00191C50 [NONAME]
        127      00191C10 [NONAME]
        128      0019E350 [NONAME]
        129      0019E330 [NONAME]
        130      0019CD30 [NONAME]
        133      0000DBD0 [NONAME]
        134      000D9840 [NONAME]
        135      00185090 [NONAME]
        136      0018EF00 [NONAME]
        137      00191DB0 [NONAME]
        138      00197420 [NONAME]
        139      001A9100 [NONAME]
        140      000D34F0 [NONAME]
        141      0019C300 [NONAME]
        142      0019D190 [NONAME]
        143      001878B0 [NONAME]
        145      001C2470 [NONAME]
        146      001C2490 [NONAME]
        147      000D9940 [NONAME]
        148      00016A50 [NONAME]
        149      001A23A0 [NONAME]
        150      00197B80 [NONAME]
        151      00184EB0 [NONAME]
        152      0018D1D0 [NONAME]
        153      0003A1F0 [NONAME]
        154      000B62A0 [NONAME]
        155      00197B70 [NONAME]
        156      001A23D0 [NONAME]
        157      000C3060 [NONAME]
        158      001A2750 [NONAME]
        159      00087640 [NONAME]
        160      0000AB70 [NONAME]
        161      001A3270 [NONAME]
        162      001850B0 [NONAME]
        163      001920B0 [NONAME]
        164      001E7890 [NONAME]
        165      000DE270 [NONAME]
        166      000DDFB0 [NONAME]
        167      00014CE0 [NONAME]
        168      00014C80 [NONAME]
        169      001F34F0 [NONAME]
        170      001F33A0 [NONAME]
        171      00184EE0 [NONAME]

  Summary

        6000 .data
        1000 .didat
       2A000 .pdata
        5000 .proxy
       C0000 .rdata
        E000 .reloc
       14000 .rsrc
      213000 .text
