Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msi.dll

File Type: DLL

  Section contains the following exports for msi.dll

    00000000 characteristics
    EC1E5BAB time date stamp
        0.00 version
           5 ordinal base
         295 number of functions
         295 number of names

    ordinal hint RVA      name

        193  11A 000F6420 MsiUseFeatureExW
        155  11B 000F6570 MsiUseFeatureW
        142  11C 00136700 MsiVerifyDiskSpace
        156  11D 000F6590 MsiVerifyPackageA
        157  11E 000F66E0 MsiVerifyPackageW
        158  11F 00136E20 MsiViewClose
        159  120 00137550 MsiViewExecute
        160  121 00137CD0 MsiViewFetch
        166  122 00138450 MsiViewGetColumnInfo
        161  123 00138BD0 MsiViewGetErrorA
        162  124 00138DE0 MsiViewGetErrorW
        163  125 001395D0 MsiViewModify
        295  126 00076C70 QueryInstanceCount

  Summary

        7000 .data
       10000 .pdata
       AC000 .rdata
        4000 .reloc
       12000 .rsrc
      3A0000 .text
