Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedyn.dll

File Type: DLL

  Section contains the following exports for framedyn.dll

    00000000 characteristics
    4FD9ED7D time date stamp
        0.00 version
           1 ordinal base
         614 number of functions
         614 number of names

    ordinal hint RVA      name

        294  125 0001DC80 ?GetCurrentBinaryKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        295  126 0001DDB0 ?GetCurrentBinaryKeyValue@CRegistry@@QEAAKPEBGPEAEPEAK@Z
        296  127 0001DB90 ?GetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAK@Z
        297  128 0001D6C0 ?GetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHString@@@Z
        298  129 0001DA00 ?GetCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGAEAVCHStringArray@@@Z
        299  12A 0001DC60 ?GetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAK@Z
        300  12B 0001D9E0 ?GetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHString@@@Z
        301  12C 0001DB70 ?GetCurrentKeyValue@CRegistry@@QEAAKPEBGAEAVCHStringArray@@@Z
        302  12D 0001D680 ?GetCurrentRawKeyValue@CRegistry@@AEAAKPEAUHKEY__@@PEBGPEAXPEAK3@Z
        303  12E 0001E0C0 ?GetCurrentRawSubKeyValue@CRegistry@@AEAAKPEBGPEAXPEAK2@Z
