Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\icuuc.dll

File Type: DLL

  Section contains the following exports for icuuc.dll

    00000000 characteristics
    A6331E83 time date stamp
        0.00 version
           1 ordinal base
        2815 number of functions
        2815 number of names

    ordinal hint RVA      name

        143   8E 0000BAC0 ??0SharedObject@icu@@QEAA@XZ
        144   8F 0001C9D0 ??0SimpleFactory@icu@@QEAA@AEBV01@@Z
        145   90 00047B80 ??0SimpleFactory@icu@@QEAA@PEAVUObject@1@AEBVUnicodeString@1@C@Z
        146   91 00027990 ??0SimpleFilteredBreakIteratorBuilder@icu@@QEAA@AEAW4UErrorCode@@@Z
        147   92 000279C0 ??0SimpleFilteredBreakIteratorBuilder@icu@@QEAA@AEBVLocale@1@AEAW4UErrorCode@@@Z
        148   93 0002A020 ??0SimpleFormatter@icu@@QEAA@AEBV01@@Z
        149   94 0002A040 ??0SimpleFormatter@icu@@QEAA@AEBVUnicodeString@1@AEAW4UErrorCode@@@Z
        150   95 0002A080 ??0SimpleFormatter@icu@@QEAA@AEBVUnicodeString@1@HHAEAW4UErrorCode@@@Z
        151   96 0002A0C0 ??0SimpleFormatter@icu@@QEAA@XZ
        152   97 0001CA20 ??0SimpleLocaleKeyFactory@icu@@QEAA@AEBV01@@Z
        153   98 0004AB20 ??0SimpleLocaleKeyFactory@icu@@QEAA@PEAVUObject@1@AEBVLocale@1@HH@Z
        154   99 0004AB80 ??0SimpleLocaleKeyFactory@icu@@QEAA@PEAVUObject@1@AEBVUnicodeString@1@HH@Z
        155   9A 00047590 ??0StringCharacterIterator@icu@@IEAA@XZ
        156   9B 000475D0 ??0StringCharacterIterator@icu@@QEAA@AEBV01@@Z
        157   9C 00047650 ??0StringCharacterIterator@icu@@QEAA@AEBVUnicodeString@1@@Z
        158   9D 000476D0 ??0StringCharacterIterator@icu@@QEAA@AEBVUnicodeString@1@H@Z
        159   9E 00047760 ??0StringCharacterIterator@icu@@QEAA@AEBVUnicodeString@1@HHH@Z
        160   9F 000A25C0 ??0StringEnumeration@icu@@IEAA@XZ
        161   A0 0001CA80 ??0StringEnumeration@icu@@QEAA@AEBV01@@Z
        162   A1 00047BD0 ??0StringPair@icu@@AEAA@AEBVUnicodeString@1@0@Z
        163   A2 0001CAE0 ??0StringPair@icu@@QEAA@$$QEAV01@@Z
        164   A3 0001CAE0 ??0StringPair@icu@@QEAA@AEBV01@@Z
        165   A4 0004B740 ??0StringPiece@icu@@QEAA@AEBV01@H@Z
        166   A5 0004B770 ??0StringPiece@icu@@QEAA@AEBV01@HH@Z
        167   A6 000078A0 ??0StringPiece@icu@@QEAA@PEBD@Z
        168   A7 000179C0 ??0StringPiece@icu@@QEAA@PEBDH@Z
        169   A8 000179E0 ??0StringPiece@icu@@QEAA@XZ
        170   A9 0004B8A0 ??0StringTrieBuilder@icu@@IEAA@XZ
        171   AA 0001F670 ??0StringTrieBuilder@icu@@QEAA@AEBV01@@Z
        172   AB 0003E8C0 ??0SymbolTable@icu@@QEAA@AEBV01@@Z
        173   AC 0003E8C0 ??0SymbolTable@icu@@QEAA@XZ
        174   AD 0005C730 ??0UCharCharacterIterator@icu@@IEAA@XZ
        175   AE 0005C760 ??0UCharCharacterIterator@icu@@QEAA@AEBV01@@Z
        176   AF 0005C7A0 ??0UCharCharacterIterator@icu@@QEAA@VConstChar16Ptr@1@H@Z
        177   B0 0005C800 ??0UCharCharacterIterator@icu@@QEAA@VConstChar16Ptr@1@HH@Z
        178   B1 0005C870 ??0UCharCharacterIterator@icu@@QEAA@VConstChar16Ptr@1@HHHH@Z
        179   B2 0001AD60 ??0UCharsDictionaryMatcher@icu@@QEAA@AEBV01@@Z
        180   B3 0001AD90 ??0UCharsDictionaryMatcher@icu@@QEAA@PEB_SPEAUUDataMemory@@@Z
        181   B4 0001AB00 ??0UCharsTrie@icu@@AEAA@PEA_SPEB_S@Z
        182   B5 0001AB20 ??0UCharsTrie@icu@@QEAA@AEBV01@@Z
        183   B6 0001AB50 ??0UCharsTrie@icu@@QEAA@VConstChar16Ptr@1@@Z
        184   B7 0005B260 ??0UCharsTrieBuilder@icu@@QEAA@AEAW4UErrorCode@@@Z
        185   B8 00008190 ??0UObject@icu@@QEAA@AEBV01@@Z
        186   B9 00008190 ??0UObject@icu@@QEAA@XZ
        187   BA 0009FE00 ??0UStack@icu@@QEAA@AEAW4UErrorCode@@@Z
        188   BB 0009FE30 ??0UStack@icu@@QEAA@HAEAW4UErrorCode@@@Z
        189   BC 0009FE60 ??0UStack@icu@@QEAA@P6AXPEAX@ZP6ACTUElement@@2@ZAEAW4UErrorCode@@@Z
        190   BD 0009FE90 ??0UStack@icu@@QEAA@P6AXPEAX@ZP6ACTUElement@@2@ZHAEAW4UErrorCode@@@Z
        191   BE 000A2600 ??0UStringEnumeration@icu@@QEAA@AEBV01@@Z
        192   BF 000A2640 ??0UStringEnumeration@icu@@QEAA@PEAUUEnumeration@@@Z
        193   C0 00027D10 ??0UStringSet@icu@@QEAA@AEAW4UErrorCode@@@Z
        194   C1 000B21B0 ??0UVector32@icu@@QEAA@AEAW4UErrorCode@@@Z
        195   C2 000B21F0 ??0UVector32@icu@@QEAA@HAEAW4UErrorCode@@@Z
        196   C3 000B29C0 ??0UVector64@icu@@QEAA@AEAW4UErrorCode@@@Z
        197   C4 000B2A00 ??0UVector64@icu@@QEAA@HAEAW4UErrorCode@@@Z
        198   C5 000B1530 ??0UVector@icu@@QEAA@AEAW4UErrorCode@@@Z
        199   C6 000B1570 ??0UVector@icu@@QEAA@HAEAW4UErrorCode@@@Z
        200   C7 00002F10 ??0UVector@icu@@QEAA@P6AXPEAX@ZP6ACTUElement@@2@ZAEAW4UErrorCode@@@Z
        201   C8 000021B0 ??0UVector@icu@@QEAA@P6AXPEAX@ZP6ACTUElement@@2@ZHAEAW4UErrorCode@@@Z
        202   C9 00001B20 ??0UnicodeFilter@icu@@QEAA@AEBV01@@Z
        203   CA 00001B20 ??0UnicodeFilter@icu@@QEAA@XZ
        204   CB 00017A00 ??0UnicodeFunctor@icu@@QEAA@AEBV01@@Z
        205   CC 00017A00 ??0UnicodeFunctor@icu@@QEAA@XZ
        206   CD 00017A20 ??0UnicodeMatcher@icu@@QEAA@AEBV01@@Z
        207   CE 00017A20 ??0UnicodeMatcher@icu@@QEAA@XZ
        208   CF 0008AAE0 ??0UnicodeSet@icu@@AEAA@AEBV01@C@Z
        209   D0 0008AC20 ??0UnicodeSet@icu@@QEAA@AEBV01@@Z
        210   D1 0008D7C0 ??0UnicodeSet@icu@@QEAA@AEBVUnicodeString@1@AEAVParsePosition@1@IPEBVSymbolTable@1@AEAW4UErrorCode@@@Z
        211   D2 0008E040 ??0UnicodeSet@icu@@QEAA@AEBVUnicodeString@1@AEAW4UErrorCode@@@Z
        212   D3 0008D8B0 ??0UnicodeSet@icu@@QEAA@AEBVUnicodeString@1@IPEBVSymbolTable@1@AEAW4UErrorCode@@@Z
        213   D4 0008ACF0 ??0UnicodeSet@icu@@QEAA@HH@Z
        214   D5 00001970 ??0UnicodeSet@icu@@QEAA@QEBGHW4ESerialization@01@AEAW4UErrorCode@@@Z
        215   D6 0008ADC0 ??0UnicodeSet@icu@@QEAA@XZ
        216   D7 0009C9A0 ??0UnicodeSetIterator@icu@@QEAA@AEBVUnicodeSet@1@@Z
        217   D8 0009C9D0 ??0UnicodeSetIterator@icu@@QEAA@XZ
        218   D9 00091F60 ??0UnicodeString@icu@@QEAA@$$QEAV01@@Z
        219   DA 00006E00 ??0UnicodeString@icu@@QEAA@$$T@Z
        220   DB 00006E00 ??0UnicodeString@icu@@QEAA@$$TH@Z
        221   DC 00006E00 ??0UnicodeString@icu@@QEAA@$$THH@Z
        222   DD 00091F90 ??0UnicodeString@icu@@QEAA@AEBV01@@Z
        223   DE 00091FD0 ??0UnicodeString@icu@@QEAA@AEBV01@H@Z
        224   DF 00092000 ??0UnicodeString@icu@@QEAA@AEBV01@HH@Z
        225   E0 00006D60 ??0UnicodeString@icu@@QEAA@CVConstChar16Ptr@1@H@Z
        226   E1 00092030 ??0UnicodeString@icu@@QEAA@H@Z
        227   E2 000920A0 ??0UnicodeString@icu@@QEAA@HHH@Z
        228   E3 00017A40 ??0UnicodeString@icu@@QEAA@PEAGHH@Z
        229   E4 00092200 ??0UnicodeString@icu@@QEAA@PEA_SHH@Z
        230   E5 00017A40 ??0UnicodeString@icu@@QEAA@PEA_WHH@Z
        231   E6 00095120 ??0UnicodeString@icu@@QEAA@PEBD0@Z
        232   E7 00095170 ??0UnicodeString@icu@@QEAA@PEBD@Z
        233   E8 000951C0 ??0UnicodeString@icu@@QEAA@PEBDH0@Z
        234   E9 00095200 ??0UnicodeString@icu@@QEAA@PEBDH@Z
        235   EA 00095240 ??0UnicodeString@icu@@QEAA@PEBDHPEAUUConverter@@AEAW4UErrorCode@@@Z
        236   EB 000922B0 ??0UnicodeString@icu@@QEAA@PEBDHW4EInvariant@01@@Z
        237   EC 00017A70 ??0UnicodeString@icu@@QEAA@PEBG@Z
        238   ED 00017AA0 ??0UnicodeString@icu@@QEAA@PEBGH@Z
