Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

        210   D1 000041B0 SC_DISK_Set_CacheDesc
        211   D2 000041D0 SC_DISK_Set_FirmwareDesc
        212   D3 00004060 SC_DISK_Set_Flags
        213   D4 000040A0 SC_DISK_Set_Geometry
        214   D5 00004080 SC_DISK_Set_Length
        215   D6 000041F0 SC_DISK_Set_LocationDesc
        216   D7 00004130 SC_DISK_Set_PartitionStyle
        217   D8 00004210 SC_DISK_Set_ResiliencyDesc
        218   D9 00004110 SC_DISK_Set_SectorCount
        219   DA 000040F0 SC_DISK_Set_SectorShift
        220   DB 00004230 SC_DISK_Set_SeekDesc
        221   DC 00004250 SC_DISK_Set_ThinDesc
        222   DD 00004270 SC_DISK_Set_TrimDesc
        223   DE 00004290 SC_DISK_Set_ZonedDesc
        224   DF 000042A0 SC_DISK_UpdateFirmwareInfo
        225   E0 000043F0 SC_DISK_VerifyPartitionTable
        226   E1 00004540 SC_DISK_Write
        227   E2 000044B0 SC_DISK_WriteSectors
        228   E3 00004680 SC_DRIVE_Get_CxxSize
        229   E4 000047B0 SC_DRIVE_Get_Header
        230   E5 00004800 SC_DRIVE_Get_IsPartial
        231   E6 00004820 SC_DRIVE_Get_IsSplit
        232   E7 00004840 SC_DRIVE_Get_LargestFreeRun
        233   E8 00004790 SC_DRIVE_Get_PartitionLength
        234   E9 00004770 SC_DRIVE_Get_PartitionOffset
        235   EA 00004700 SC_DRIVE_Get_TempDescription
        236   EB 00004690 SC_DRIVE_Get_TempId
        237   EC 00004750 SC_DRIVE_Get_TempMediaType
        238   ED 000046D0 SC_DRIVE_Get_TempName
        239   EE 00004730 SC_DRIVE_Get_TempUsage
        240   EF 00004590 SC_DRIVE_HEADER_Get_CxxSize
        241   F0 000045D0 SC_DRIVE_HEADER_Get_DriveId
        242   F1 00004600 SC_DRIVE_HEADER_Get_Flags
        243   F2 00004620 SC_DRIVE_HEADER_Get_GenerationId
        244   F3 000045A0 SC_DRIVE_HEADER_Get_PoolId
        245   F4 00004650 SC_DRIVE_HEADER_Get_UpdateSequence
        246   F5 00003DF0 SC_DRIVE_HEADER_Get_UpdateTime
        247   F6 000045F0 SC_DRIVE_HEADER_Set_DriveId
        248   F7 00004610 SC_DRIVE_HEADER_Set_Flags
        249   F8 00004640 SC_DRIVE_HEADER_Set_GenerationId
        250   F9 000045C0 SC_DRIVE_HEADER_Set_PoolId
        251   FA 00004660 SC_DRIVE_HEADER_Set_UpdateSequence
        252   FB 00004670 SC_DRIVE_HEADER_Set_UpdateTime
        253   FC 00004920 SC_DRIVE_HasSpacesPartition
        254   FD 00003ED0 SC_DRIVE_Initialize
        255   FE 00004940 SC_DRIVE_IsHeaderValid
        256   FF 00004860 SC_DRIVE_ReadHeader
        257  100 000047C0 SC_DRIVE_Set_Header
        258  101 00004810 SC_DRIVE_Set_IsPartial
