Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase.dll

File Type: DLL

  Section contains the following exports for ucrtbase.dll

    00000000 characteristics
    490B0AEB time date stamp
        0.00 version
           1 ordinal base
        2483 number of functions
        2483 number of names

    ordinal hint RVA      name

        379  17A 0006D3E0 _invalid_parameter_noinfo_noreturn
        380  17B 0006D410 _invoke_watson
        381  17C 0003C800 _is_exception_typeof
        382  17D 00067560 _isalnum_l
        383  17E 000675B0 _isalpha_l
        384  17F 00015E90 _isatty
        385  180 00067600 _isblank_l
        386  181 00067650 _iscntrl_l
        387  182 00065460 _isctype
        388  183 000654A0 _isctype_l
        389  184 000676A0 _isdigit_l
        390  185 000676F0 _isgraph_l
        391  186 00023C40 _isleadbyte_l
        392  187 00067740 _islower_l
        393  188 000ABE80 _ismbbalnum
        394  189 000ABEA0 _ismbbalnum_l
        395  18A 000ABEC0 _ismbbalpha
        396  18B 000ABEE0 _ismbbalpha_l
        397  18C 000ABF00 _ismbbblank
        398  18D 000ABF30 _ismbbblank_l
        399  18E 000ABF60 _ismbbgraph
        400  18F 000ABF80 _ismbbgraph_l
        401  190 000ABFA0 _ismbbkalnum
        402  191 000ABFC0 _ismbbkalnum_l
        403  192 000ABFE0 _ismbbkana
        404  193 000ABFF0 _ismbbkana_l
        405  194 000AC060 _ismbbkprint
        406  195 000AC080 _ismbbkprint_l
        407  196 000AC0A0 _ismbbkpunct
        408  197 000AC0C0 _ismbbkpunct_l
        409  198 00012B60 _ismbblead
        410  199 000AC0E0 _ismbblead_l
        411  19A 000AC100 _ismbbprint
        412  19B 000AC120 _ismbbprint_l
        413  19C 000AC140 _ismbbpunct
        414  19D 000AC160 _ismbbpunct_l
        415  19E 000AC180 _ismbbtrail
        416  19F 000AC1A0 _ismbbtrail_l
        417  1A0 000ABD60 _ismbcalnum
        418  1A1 000ABD70 _ismbcalnum_l
        419  1A2 000ABDF0 _ismbcalpha
        420  1A3 000ABE00 _ismbcalpha_l
        421  1A4 000AC5A0 _ismbcblank
        422  1A5 000AC5B0 _ismbcblank_l
        423  1A6 000AC1C0 _ismbcdigit
        424  1A7 000AC1D0 _ismbcdigit_l
        425  1A8 000AC240 _ismbcgraph
        426  1A9 000AC250 _ismbcgraph_l
        427  1AA 000AC2D0 _ismbchira
        428  1AB 000AC2E0 _ismbchira_l
        429  1AC 000AC340 _ismbckata
        430  1AD 000AC350 _ismbckata_l
        431  1AE 000ACB30 _ismbcl0
        432  1AF 000ACB40 _ismbcl0_l
        433  1B0 000ACBB0 _ismbcl1
        434  1B1 000ACBC0 _ismbcl1_l
        435  1B2 000ACC30 _ismbcl2
        436  1B3 000ACC40 _ismbcl2_l
        437  1B4 000AC420 _ismbclegal
        438  1B5 000AC430 _ismbclegal_l
        439  1B6 000AC490 _ismbclower
        440  1B7 000AC4A0 _ismbclower_l
        441  1B8 000AC510 _ismbcprint
        442  1B9 000AC520 _ismbcprint_l
        443  1BA 000AC640 _ismbcpunct
        444  1BB 000AC650 _ismbcpunct_l
        445  1BC 000AC780 _ismbcspace
        446  1BD 000AC790 _ismbcspace_l
        447  1BE 000AC3B0 _ismbcsymbol
        448  1BF 000AC3C0 _ismbcsymbol_l
        449  1C0 000AC800 _ismbcupper
        450  1C1 000AC810 _ismbcupper_l
        451  1C2 000AC6D0 _ismbslead
        452  1C3 000AC6E0 _ismbslead_l
        453  1C4 000655B0 _ismbstrail
        454  1C5 000655C0 _ismbstrail_l
        455  1C6 00037720 _isnan
        456  1C7 00037760 _isnanf
        457  1C8 00067790 _isprint_l
        458  1C9 000677E0 _ispunct_l
        459  1CA 00067830 _isspace_l
        460  1CB 00067880 _isupper_l
        461  1CC 00007920 _iswalnum_l
        462  1CD 000054A0 _iswalpha_l
        463  1CE 00067CA0 _iswblank_l
        464  1CF 00067CC0 _iswcntrl_l
        465  1D0 00067C20 _iswcsym_l
        466  1D1 00067C60 _iswcsymf_l
        467  1D2 00065660 _iswctype_l
        468  1D3 00007910 _iswdigit_l
        469  1D4 00067CD0 _iswgraph_l
        470  1D5 00067CE0 _iswlower_l
        471  1D6 00022740 _iswprint_l
        472  1D7 00067CF0 _iswpunct_l
        473  1D8 00067D00 _iswspace_l
        474  1D9 00001F00 _iswupper_l
        475  1DA 00002400 _iswxdigit_l
        476  1DB 000678D0 _isxdigit_l
        477  1DC 00067390 _itoa
        478  1DD 000209B0 _itoa_s
        479  1DE 00024120 _itow
        480  1DF 0001C4F0 _itow_s
        481  1E0 00083B90 _j0
        482  1E1 00083E60 _j1
        483  1E2 00084160 _jn
        484  1E3 0009A330 _kbhit
        485  1E4 000934F0 _ld_int
        486  1E5 0008F990 _ldclass
        487  1E6 0008AC70 _ldexp
        488  1E7 0008F270 _ldlog
        489  1E8 0008F9B0 _ldpcomp
        490  1E9 000899F0 _ldpoly
        491  1EA 00093410 _ldscale
        492  1EB 0008FA30 _ldsign
        493  1EC 0008DF20 _ldsin
        494  1ED 00093500 _ldtest
        495  1EE 00093640 _ldunscale
        496  1EF 00083330 _lfind
        497  1F0 000833D0 _lfind_s
        498  1F1 000A9D30 _loaddll
        499  1F2 00045820 _local_unwind
        500  1F3 000A50F0 _localtime32
        501  1F4 000A5140 _localtime32_s
        502  1F5 000A5150 _localtime64
        503  1F6 000029F0 _localtime64_s
        504  1F7 00001290 _lock_file
        505  1F8 0001CB10 _lock_locales
        506  1F9 000A2180 _locking
        507  1FA 00032CE0 _logb
        508  1FB 00032DD0 _logbf
        509  1FC 00083620 _lrotl
        510  1FD 00083650 _lrotr
        511  1FE 000834A0 _lsearch
        512  1FF 00083560 _lsearch_s
        513  200 00023E50 _lseek
        514  201 000A22F0 _lseeki64
        515  202 0001E280 _ltoa
        516  203 000209B0 _ltoa_s
        517  204 000673D0 _ltow
        518  205 0001C440 _ltow_s
        519  206 0009E340 _makepath
        520  207 0009E370 _makepath_s
        521  208 0000C9F0 _malloc_base
        522  209 000B0E90 _mbbtombc
        523  20A 000B0EA0 _mbbtombc_l
        524  20B 000AC880 _mbbtype
        525  20C 000AC890 _mbbtype_l
        526  20D 000EBB90 _mbcasemap
        527  20E 000AC920 _mbccpy
        528  20F 000AC950 _mbccpy_l
        529  210 000AC980 _mbccpy_s
        530  211 000AC9A0 _mbccpy_s_l
        531  212 000B0CF0 _mbcjistojms
        532  213 000B0D00 _mbcjistojms_l
        533  214 000B0DB0 _mbcjmstojis
        534  215 000B0DC0 _mbcjmstojis_l
        535  216 000ACAB0 _mbclen
        536  217 000ACAF0 _mbclen_l
        537  218 000B0AA0 _mbctohira
        538  219 000B0AB0 _mbctohira_l
        539  21A 000B0AF0 _mbctokata
        540  21B 000B0B00 _mbctokata_l
        541  21C 000B0B30 _mbctolower
        542  21D 000B0B40 _mbctolower_l
        543  21E 000B0F50 _mbctombb
        544  21F 000B0F60 _mbctombb_l
        545  220 000B0C10 _mbctoupper
        546  221 000B0C20 _mbctoupper_l
        547  222 00065670 _mblen_l
        548  223 000ACCB0 _mbsbtype
        549  224 000ACCC0 _mbsbtype_l
        550  225 000ACD80 _mbscat_s
        551  226 000ACD90 _mbscat_s_l
        552  227 000ACF30 _mbschr
        553  228 000ACF40 _mbschr_l
        554  229 000AD010 _mbscmp
        555  22A 000AD020 _mbscmp_l
        556  22B 000AD120 _mbscoll
        557  22C 000AD130 _mbscoll_l
        558  22D 000AD200 _mbscpy_s
        559  22E 000AD210 _mbscpy_s_l
        560  22F 000AD350 _mbscspn
        561  230 000AD360 _mbscspn_l
        562  231 000AD450 _mbsdec
        563  232 000AD460 _mbsdec_l
        564  233 00024C40 _mbsdup
        565  234 000AD500 _mbsicmp
        566  235 000AD510 _mbsicmp_l
        567  236 000AD710 _mbsicoll
        568  237 000AD720 _mbsicoll_l
