Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcrt.dll

File Type: DLL

  Section contains the following exports for msvcrt.dll

    00000000 characteristics
    F362C2F9 time date stamp
        0.00 version
           1 ordinal base
        1317 number of functions
        1317 number of names

    ordinal hint RVA      name

        393  188 00001480 _isdigit_l
        394  189 000014F0 _isgraph_l
        395  18A 00003290 _isleadbyte_l
        396  18B 00001560 _islower_l
        397  18C 000211B0 _ismbbalnum
        398  18D 000211D0 _ismbbalnum_l
        399  18E 000211F0 _ismbbalpha
        400  18F 00021210 _ismbbalpha_l
        401  190 00021230 _ismbbgraph
        402  191 00021250 _ismbbgraph_l
        403  192 00021270 _ismbbkalnum
        404  193 00021290 _ismbbkalnum_l
        405  194 000212B0 _ismbbkana
        406  195 000212C0 _ismbbkana_l
        407  196 00021330 _ismbbkprint
        408  197 00021350 _ismbbkprint_l
        409  198 00021370 _ismbbkpunct
        410  199 00021390 _ismbbkpunct_l
        411  19A 000213B0 _ismbblead
        412  19B 000213D0 _ismbblead_l
        413  19C 000213F0 _ismbbprint
        414  19D 00021410 _ismbbprint_l
        415  19E 00021430 _ismbbpunct
        416  19F 00021450 _ismbbpunct_l
        417  1A0 00021470 _ismbbtrail
        418  1A1 00021490 _ismbbtrail_l
        419  1A2 000214B0 _ismbcalnum
        420  1A3 000214C0 _ismbcalnum_l
        421  1A4 000215A0 _ismbcalpha
        422  1A5 000215B0 _ismbcalpha_l
        423  1A6 00021690 _ismbcdigit
        424  1A7 000216A0 _ismbcdigit_l
        425  1A8 00021780 _ismbcgraph
        426  1A9 00021790 _ismbcgraph_l
        427  1AA 00021870 _ismbchira
        428  1AB 00021880 _ismbchira_l
        429  1AC 000218E0 _ismbckata
        430  1AD 000218F0 _ismbckata_l
        431  1AE 000219C0 _ismbcl0
        432  1AF 000219D0 _ismbcl0_l
        433  1B0 00021A40 _ismbcl1
        434  1B1 00021A50 _ismbcl1_l
        435  1B2 00021AC0 _ismbcl2
        436  1B3 00021AD0 _ismbcl2_l
        437  1B4 00021B40 _ismbclegal
        438  1B5 00021B50 _ismbclegal_l
        439  1B6 00021BB0 _ismbclower
        440  1B7 00021BC0 _ismbclower_l
        441  1B8 00021C90 _ismbcprint
        442  1B9 00021CA0 _ismbcprint_l
        443  1BA 00021D80 _ismbcpunct
        444  1BB 00021D90 _ismbcpunct_l
        445  1BC 00021E70 _ismbcspace
        446  1BD 00021E80 _ismbcspace_l
