Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\migisol.dll

File Type: DLL

  Section contains the following exports for migisol.dll

    00000000 characteristics
    C8F5EB64 time date stamp
        0.00 version
           1 ordinal base
         739 number of functions
         739 number of names

    ordinal hint RVA      name

        212   D3 00003F40 ?GetProcAddress@CIlKernel32@@UEAAP6A_JXZPEAUHINSTANCE__@@PEBD@Z
        213   D4 00003510 ?GetProcessHeap@CIlKernel32@@UEAAPEAXXZ
        214   D5 00001AE0 ?GetSecurityDescriptorDacl@CIlAdvapi32@@UEAAHPEAXPEAHPEAPEAU_ACL@@1@Z
        215   D6 00001AC0 ?GetSecurityDescriptorGroup@CIlAdvapi32@@UEAAHPEAXPEAPEAXPEAH@Z
        216   D7 00001AA0 ?GetSecurityDescriptorOwner@CIlAdvapi32@@UEAAHPEAXPEAPEAXPEAH@Z
        217   D8 00001B10 ?GetSecurityDescriptorSacl@CIlAdvapi32@@UEAAHPEAXPEAHPEAPEAU_ACL@@1@Z
        218   D9 000016F0 ?GetSecurityInfo@CIlAdvapi32@@UEAAKPEAXW4_SE_OBJECT_TYPE@@KPEAPEAX2PEAPEAU_ACL@@32@Z
        219   DA 00003980 ?GetShortPathNameW@CIlKernel32@@UEAAKPEBGPEAGK@Z
        220   DB 000034E0 ?GetSystemInfo@CIlKernel32@@UEAAXPEAU_SYSTEM_INFO@@@Z
        221   DC 000044E0 ?GetSystemWindowsDirectoryW@CIlNt4Kernel32@@UEAAIPEAGI@Z
        222   DD 00003920 ?GetTempFileNameW@CIlKernel32@@UEAAIPEBG0IPEAG@Z
        223   DE 00003900 ?GetTempPathW@CIlKernel32@@UEAAKKPEAG@Z
        224   DF 000039B0 ?GetTickCount@CIlKernel32@@UEAAKXZ
        225   E0 00001600 ?GetTokenInformation@CIlAdvapi32@@UEAAHPEAXW4_TOKEN_INFORMATION_CLASS@@0KPEAK@Z
        226   E1 00008040 ?GetUpgradeLanguage@CIlMuisetupapi@@UEAAKPEAGII@Z
        227   E2 00008070 ?GetUpgradeLanguageEx@CIlMuisetupapi@@UEAAKPEAGIIPEBG@Z
        228   E3 00001520 ?GetUserNameW@CIlAdvapi32@@UEAAHPEAGPEAK@Z
        229   E4 000034C0 ?GetVersionExA@CIlKernel32@@UEAAHPEAU_OSVERSIONINFOA@@@Z
        230   E5 000034D0 ?GetVersionExW@CIlKernel32@@UEAAHPEAU_OSVERSIONINFOW@@@Z
        231   E6 00003B90 ?GetVolumeInformationW@CIlKernel32@@UEAAHPEBGPEAGKPEAK221K@Z
        232   E7 00003890 ?GetWindowsDirectoryW@CIlKernel32@@UEAAIPEAGI@Z
        233   E8 00003620 ?GlobalAlloc@CIlKernel32@@UEAAPEAXI_K@Z
        234   E9 00003660 ?GlobalFree@CIlKernel32@@UEAAPEAXPEAX@Z
        235   EA 00003640 ?GlobalLock@CIlKernel32@@UEAAPEAXPEAX@Z
        236   EB 000034F0 ?GlobalMemoryStatus@CIlKernel32@@UEAAXPEAU_MEMORYSTATUS@@@Z
        237   EC 000045F0 ?GlobalMemoryStatusEx@CIlNt4Kernel32@@UEAAHPEAU_MEMORYSTATUSEX@@@Z
        238   ED 00003670 ?GlobalSize@CIlKernel32@@UEAA_KPEAX@Z
        239   EE 00003650 ?GlobalUnlock@CIlKernel32@@UEAAHPEAX@Z
        240   EF 00003550 ?HeapAlloc@CIlKernel32@@UEAAPEAXPEAXK_K@Z
        241   F0 000035C0 ?HeapCompact@CIlKernel32@@UEAA_KPEAXK@Z
        242   F1 00003520 ?HeapCreate@CIlKernel32@@UEAAPEAXK_K0@Z
        243   F2 00003540 ?HeapDestroy@CIlKernel32@@UEAAHPEAX@Z
        244   F3 000035A0 ?HeapFree@CIlKernel32@@UEAAHPEAXK0@Z
        245   F4 00003570 ?HeapReAlloc@CIlKernel32@@UEAAPEAXPEAXK0_K@Z
        246   F5 000035E0 ?HeapValidate@CIlKernel32@@UEAAHPEAXKPEBX@Z
        247   F6 00003600 ?HeapWalk@CIlKernel32@@UEAAHPEAXPEAU_PROCESS_HEAP_ENTRY@@@Z
        248   F7 00020228 ?IlAdvapi32@@3VCIlAdvapi32@@A
        249   F8 00002720 ?IlChangeServiceConfigW@CIlNt4Advapi32@@CAHPEAUSC_HANDLE__@@KKKPEBG1PEAK1111@Z
        250   F9 00002FE0 ?IlCloseServiceHandle@CIlNt4Advapi32@@CAHPEAUSC_HANDLE__@@@Z
        251   FA 00001FD0 ?IlConvertSecurityDescriptorToStringSecurityDescriptorW@CIlNt4Advapi32@@CAHPEAXKKPEAPEAGPEAK@Z
        252   FB 00001D90 ?IlConvertSidToStringSidW@CIlNt4Advapi32@@CAHPEAXPEAPEAG@Z
        253   FC 00002100 ?IlConvertStringSecurityDescriptorToSecurityDescriptorW@CIlNt4Advapi32@@CAHPEBGKPEAPEAXPEAK@Z
        254   FD 00001EA0 ?IlConvertStringSidToSidW@CIlNt4Advapi32@@CAHPEAGPEAPEAX@Z
        255   FE 00007580 ?IlCreateProfile@CIlNt6Userenv@@CAJPEBG0PEAGK@Z
        256   FF 00002940 ?IlCreateServiceW@CIlNt4Advapi32@@CAPEAUSC_HANDLE__@@PEAU2@PEBG1KKKK11PEAK111@Z
        257  100 000041D0 ?IlCreateToolhelp32Snapshot@CIlNt4Kernel32@@CAPEAXKK@Z
        258  101 00007400 ?IlCreateUserProfileExW@CIlNt4Userenv@@CAHPEAXPEBG1PEAGKH@Z
        259  102 00002230 ?IlCreateWellKnownSid@CIlNt4Advapi32@@CAHW4WELL_KNOWN_SID_TYPE@@PEAX1PEAK@Z
        260  103 000202B0 ?IlDeplorch@@3VCIlDeplorch@@A
        261  104 00003240 ?IlEncryptFileW@CIlNt4Advapi32@@CAHPEBG@Z
        262  105 00002C60 ?IlEnumServicesStatusExW@CIlNt4Advapi32@@CAHPEAUSC_HANDLE__@@W4_SC_ENUM_TYPE@@KKPEAEKPEAK33PEBG@Z
        263  106 00004500 ?IlGetSystemWindowsDirectoryW@CIlNt4Kernel32@@CAIPEAGI@Z
        264  107 00004610 ?IlGlobalMemoryStatusEx@CIlNt4Kernel32@@CAHPEAU_MEMORYSTATUSEX@@@Z
        265  108 00003110 ?IlInitiateSystemShutdownExW@CIlNt4Advapi32@@CAHPEAG0KHHK@Z
        266  109 000202A8 ?IlIphlpapi@@3VCIlIphlpapi@@A
        267  10A 00020250 ?IlKernel32@@3VCIlKernel32@@A
        268  10B 00002DE0 ?IlLockServiceDatabase@CIlNt4Advapi32@@CAPEAXPEAUSC_HANDLE__@@@Z
        269  10C 00007290 ?IlLockSetForegroundWindow@CIlNt4User32@@CAHI@Z
        270  10D 00020280 ?IlMuisetupapi@@3VCIlMuisetupapi@@A
        271  10E 000051D0 ?IlNetApiBufferFree@CIlNt4Netapi32@@CAKPEAX@Z
        272  10F 00004F30 ?IlNetLocalGroupAdd@CIlNt4Netapi32@@CAKPEBGKPEAEPEAK@Z
        273  110 00004E00 ?IlNetLocalGroupAddMembers@CIlNt4Netapi32@@CAKPEBG0KPEAEK@Z
        274  111 00005090 ?IlNetLocalGroupEnum@CIlNt4Netapi32@@CAKPEBGKPEAPEAEKPEAK2PEA_K@Z
        275  112 00004870 ?IlNetUserAdd@CIlNt4Netapi32@@CAKPEBGKPEAEPEAK@Z
        276  113 00004990 ?IlNetUserDel@CIlNt4Netapi32@@CAKPEBG0@Z
        277  114 00004AF0 ?IlNetUserEnum@CIlNt4Netapi32@@CAKPEBGKKPEAPEAEKPEAK22@Z
