Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\archiveint.dll

File Type: DLL

  Section contains the following exports for archiveint.dll

    00000000 characteristics
    2B167212 time date stamp
        0.00 version
           1 ordinal base
         409 number of functions
         409 number of names

    ordinal hint RVA      name

        357  164 0003C260 archive_write_get_bytes_per_block
        358  165 0003BFD0 archive_write_header
        359  166 0003C0E0 archive_write_new
        360  167 0003C870 archive_write_open
        361  168 0003D2A0 archive_write_open_FILE
        362  169 0003D0B0 archive_write_open_fd
        363  16A 0003D3A0 archive_write_open_file
        364  16B 0003D3A0 archive_write_open_filename
        365  16C 0003D3D0 archive_write_open_filename_w
        366  16D 0003D6D0 archive_write_open_memory
        367  16E 0003C2A0 archive_write_set_bytes_in_last_block
        368  16F 0003C210 archive_write_set_bytes_per_block
        369  170 0003DFA0 archive_write_set_compression_bzip2
        370  171 0003E260 archive_write_set_compression_compress
        371  172 0003EB30 archive_write_set_compression_gzip
        372  173 000405B0 archive_write_set_compression_lzip
        373  174 000405B0 archive_write_set_compression_lzma
        374  175 000110A0 archive_write_set_compression_none
        375  176 0003F9C0 archive_write_set_compression_program
        376  177 000405F0 archive_write_set_compression_xz
        377  178 000597E0 archive_write_set_filter_option
        378  179 00040690 archive_write_set_format
        379  17A 00040700 archive_write_set_format_7zip
        380  17B 00042A60 archive_write_set_format_ar_bsd
        381  17C 00042AC0 archive_write_set_format_ar_svr4
        382  17D 000433D0 archive_write_set_format_by_name
        383  17E 00043480 archive_write_set_format_cpio
        384  17F 00043E60 archive_write_set_format_cpio_newc
        385  180 00044860 archive_write_set_format_filter_by_ext
        386  181 000448F0 archive_write_set_format_filter_by_ext_def
        387  182 00044990 archive_write_set_format_gnutar
        388  183 00045890 archive_write_set_format_iso9660
        389  184 00050B90 archive_write_set_format_mtree
        390  185 00050BB0 archive_write_set_format_mtree_classic
        391  186 000597A0 archive_write_set_format_option
        392  187 00051D80 archive_write_set_format_pax
        393  188 00051D30 archive_write_set_format_pax_restricted
        394  189 00054440 archive_write_set_format_raw
        395  18A 00054670 archive_write_set_format_shar
        396  18B 00054780 archive_write_set_format_shar_dump
        397  18C 000554C0 archive_write_set_format_ustar
        398  18D 000561D0 archive_write_set_format_v7tar
