Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ifsutil.dll

File Type: DLL

  Section contains the following exports for IfsUtil.dll

    00000000 characteristics
    F3C8EAD5 time date stamp
        0.00 version
           1 ordinal base
         321 number of functions
         321 number of names

    ordinal hint RVA      name

        176   AF 0001D560 ?PowForceAllocation@IO_DP_DRIVE@@QEAAEKKPEAKW4NwaType@DP_DRIVE@@@Z
        177   B0 00012EB0 ?Prefetch@IO_DP_DRIVE@@QEAAEVBIG_INT@@K@Z
        178   B1 00008D30 ?Purge@WRITEVIEW_CACHE@@QEAAXVBIG_INT@@K@Z
        179   B2 00017310 ?Push@INTSTACK@@QEAAEVBIG_INT@@@Z
        180   B3 0000E2B0 ?PushEntry@AUTOREG@@SAEPEBVWSTRING@@@Z
        181   B4 00021280 ?QueryAutochkTimeOut@VOL_LIODPDRV@@SAEPEAK@Z
        182   B5 000102C0 ?QueryCacheSize@BLOCK_CACHE@@UEAAXPEA_K0@Z
        183   B6 00012FB0 ?QueryCacheSize@IO_DP_DRIVE@@QEAAXPEA_K0@Z
        184   B7 00024750 ?QueryCacheSize@WRITEVIEW_CACHE@@UEAAXPEA_K0@Z
        185   B8 00015EF0 ?QueryCanonicalNtDriveName@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAV2@@Z
        186   B9 00011990 ?QueryChildren@DIGRAPH@@QEBAEKPEAVNUMBER_SET@@@Z
        187   BA 00016010 ?QueryCluster@IFS_SYSTEM@@SAEPEAE@Z
        188   BB 00016080 ?QueryClusterFunctionalLevel@IFS_SYSTEM@@SAEPEAK0@Z
        189   BC 000077B0 ?QueryCompressedInteger@BIG_INT@@QEBAXPEAE0@Z
        190   BD 000011C0 ?QueryContainingRange@NUMBER_SET@@QEBAEVBIG_INT@@PEAV2@1@Z
        191   BE 00016190 ?QueryCorruptionState@IFS_SYSTEM@@SAEPEAVWSTRING@@PEAKPEAEPEAJ@Z
        192   BF 000085D0 ?QueryDataRedundancyCount@DP_DRIVE@@UEAAJPEAK0@Z
        193   C0 0001D9B0 ?QueryDiscStatus@DP_DRIVE@@QEAAEPEAK0@Z
        194   C1 00018150 ?QueryDisjointRange@NUMBER_SET@@QEBAXKPEAVBIG_INT@@0@Z
        195   C2 0001BCD0 ?QueryDisjointRangeAndAssignBuffer@TLINK@@QEAAPEAXPEAVBIG_INT@@PEAG1PEAXK2@Z
        196   C3 0000D640 ?QueryDriveHandle@DP_DRIVE@@QEBAPEAXXZ
        197   C4 00017A10 ?QueryDriveName@MOUNT_POINT_MAP@@QEAAEPEAVWSTRING@@0@Z
        198   C5 0000D650 ?QueryDriveType@DP_DRIVE@@QEBA?AW4DRIVE_TYPE@@XZ
        199   C6 0001DAA0 ?QueryEccBlockSizeInSectors@DP_DRIVE@@QEAAGXZ
        200   C7 00001E40 ?QueryFileSystemName@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAV2@PEAJ1@Z
        201   C8 00016380 ?QueryFileSystemNameByHandle@IFS_SYSTEM@@SAEPEAXPEAVWSTRING@@PEAJ1@Z
        202   C9 0001DE30 ?QueryFirstBlockInLastNonEmptySession@DP_DRIVE@@QEAAEPEAK@Z
        203   CA 0001DF40 ?QueryFirstBlockInLastSession@DP_DRIVE@@QEAAEPEAK@Z
        204   CB 0001E080 ?QueryFreeBlocksInLastTrack@DP_DRIVE@@QEAAEPEAK@Z
        205   CC 0001E090 ?QueryFreeBlocksInLastTrack@DP_DRIVE@@SAEPEAXPEAK@Z
        206   CD 00016600 ?QueryFreeDiskSpace@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAVBIG_INT@@@Z
        207   CE 0001E1F0 ?QueryHighestTrackAddress@DP_DRIVE@@QEAAEPEAK@Z
        208   CF 0000D660 ?QueryHotPlugInfo@DP_DRIVE@@QEBAEXZ
        209   D0 00002D50 ?QueryID@DP_DRIVE@@QEAAEPEAU_GUID@@PEBVWSTRING@@@Z
        210   D1 00012FF0 ?QueryID@DP_DRIVE@@QEAAEPEAVWSTRING@@PEBV2@@Z
        211   D2 00017AD0 ?QueryIsSystemPartition@MOUNT_POINT_MAP@@QEAAEPEAVWSTRING@@PEAE@Z
        212   D3 000166C0 ?QueryIsSystemUEFI@IFS_SYSTEM@@SAEXZ
        213   D4 0001E270 ?QueryLastRecordedAddress@DP_DRIVE@@QEAAEPEAK@Z
        214   D5 0001E3C0 ?QueryLastWritableAddress@DP_DRIVE@@QEAAEPEAKW4NwaType@1@@Z
        215   D6 00008C50 ?QueryMediaByte@DP_DRIVE@@QEBAEXZ
        216   D7 0000D670 ?QueryMemberCount@TLINK@@QEBAGXZ
        217   D8 00013010 ?QueryMemoryLimit@IO_DP_DRIVE@@QEAAEPEA_KPEAE@Z
        218   D9 00024770 ?QueryMemoryLimit@WRITEVIEW_CACHE@@UEAAEPEA_KPEAE@Z
        219   DA 00013040 ?QueryMrwSupport@DP_DRIVE@@SAEPEAX@Z
        220   DB 0001E470 ?QueryNextWritableAddress@DP_DRIVE@@QEAAEPEAKW4NwaType@1@@Z
        221   DC 00004BE0 ?QueryNtfsSupportInfo@DP_DRIVE@@SAJPEAXPEAE@Z
