Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\esent.dll

File Type: DLL

  Section contains the following exports for ESENT.dll

    00000000 characteristics
    5D87557D time date stamp
        0.00 version
           1 ordinal base
         375 number of functions
         375 number of names

    ordinal hint RVA      name

        363  16A 000DA1C0 JetTerm2
        364  16B 001CC260 JetTestHook
        365  16C 001CC970 JetTracing
        366  16D 001CCE30 JetTruncateLog
        367  16E 001CCE60 JetTruncateLogInstance
        368  16F 001CD130 JetUnregisterCallback
        369  170 000B7000 JetUpdate
        370  171 000B71C0 JetUpdate2
        371  172 001CD4B0 JetUpgradeDatabase
        372  173 001CD4B0 JetUpgradeDatabaseA
        373  174 001CD890 JetUpgradeDatabaseW
        374  175 00245080 ese
        375  176 002FD5E0 rgEDBGGlobals

  Summary

        E000 .data
        1000 .didat
       19000 .pdata
       8B000 .rdata
        3000 .reloc
        1000 .rsrc
      26D000 .text
        2000 cachelin
