Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wbemcomn.dll

File Type: DLL

  Section contains the following exports for wbemcomn.dll

    00000000 characteristics
    264DE62A time date stamp
        0.00 version
           1 ordinal base
        1397 number of functions
        1397 number of names

    ordinal hint RVA      name

        237   EC 00006150 ??1QL_LEVEL_1_TOKEN@@QEAA@XZ
        238   ED 00002E40 ??1Registry@@QEAA@XZ
        239   EE 00011450 ??1WString2@@QEAA@XZ
        240   EF 00010E30 ??1WString@@QEAA@XZ
        241   F0 0002DE50 ??4?$CLockableFlexArray@VCStaticCritSec@@@@QEAAAEAV0@$$QEAV0@@Z
        242   F1 0002DE50 ??4?$CLockableFlexArray@VCStaticCritSec@@@@QEAAAEAV0@AEAV0@@Z
        243   F2 000025D0 ??4?$SZLess@PEBG@@QEAAAEAU0@AEBU0@@Z
        244   F3 00023CC0 ??4C9XAce@@QEAAAEAV0@AEBV0@@Z
        245   F4 00032850 ??4CAbstractQl1Parser@@QEAAAEAV0@AEBV0@@Z
        246   F5 000025D0 ??4CArena@@QEAAAEAV0@$$QEAV0@@Z
        247   F6 000025D0 ??4CArena@@QEAAAEAV0@AEBV0@@Z
        248   F7 000025D0 ??4CBaseAce@@QEAAAEAV0@AEBV0@@Z
        249   F8 00030D90 ??4CBaseMrciCompression@@QEAAAEAV0@$$QEAV0@@Z
        250   F9 00030DF0 ??4CBaseMrciCompression@@QEAAAEAV0@AEBV0@@Z
        251   FA 00042080 ??4CBasicUnloadInstruction@@QEAAAEAV0@AEBV0@@Z
        252   FB 00022A70 ??4CBuffer@@QEAAAEAV0@AEBV0@@Z
        253   FC 00023700 ??4CCheckedInCritSec@@QEAAAEAV0@AEBV0@@Z
        254   FD 00022AB0 ??4CCircularQueue@@QEAAAEAV0@$$QEAV0@@Z
        255   FE 00022B10 ??4CCircularQueue@@QEAAAEAV0@AEBV0@@Z
        256   FF 00023720 ??4CClientOpsNode@@QEAAAEAV0@AEBV0@@Z
        257  100 0002B240 ??4CContainerControl@@QEAAAEAV0@$$QEAV0@@Z
        258  101 0002B240 ??4CContainerControl@@QEAAAEAV0@AEBV0@@Z
        259  102 00023720 ??4CCritSec@@QEAAAEAV0@AEBV0@@Z
        260  103 00024AA0 ??4CDMTFParser@@QEAAAEAV0@AEBV0@@Z
        261  104 000237B0 ??4CDatePart@@QEAAAEAV0@AEBV0@@Z
        262  105 00024AD0 ??4CDateTimeParser@@QEAAAEAV0@AEBV0@@Z
        263  106 00023700 ??4CEnterWbemCriticalSection@@QEAAAEAV0@AEBV0@@Z
        264  107 0002CD20 ??4CExecQueue@@QEAAAEAV0@AEAV0@@Z
        265  108 0002CE40 ??4CExecRequest@@QEAAAEAV0@AEBV0@@Z
        266  109 0002DEA0 ??4CFlexArray@@QEAAAEAV0@AEAV0@@Z
        267  10A 00023750 ??4CFlexQueue@@QEAAAEAV0@AEBV0@@Z
        268  10B 00023770 ??4CHaltable@@QEAAAEAV0@AEBV0@@Z
        269  10C 00024580 ??4CHex@@QEAAAEAV0@$$QEAV0@@Z
        270  10D 00024580 ??4CHex@@QEAAAEAV0@AEBV0@@Z
        271  10E 00023CF0 ??4CIdentitySecurity@@QEAAAEAV0@AEBV0@@Z
        272  10F 0002B240 ??4CIdentityTest@@QEAAAEAV0@AEBV0@@Z
        273  110 000237B0 ??4CInCritSec@@QEAAAEAV0@AEBV0@@Z
        274  111 0002B260 ??4CInsertionString@@QEAAAEAV0@$$QEAV0@@Z
        275  112 0002B260 ??4CInsertionString@@QEAAAEAV0@AEBV0@@Z
        276  113 000351F0 ??4CInstructionQueue@@QEAAAEAV0@AEBV0@@Z
        277  114 000025D0 ??4CInstructionTest@@QEAAAEAV0@$$QEAV0@@Z
        278  115 000025D0 ??4CInstructionTest@@QEAAAEAV0@AEBV0@@Z
        279  116 000025D0 ??4CLifeControl@@QEAAAEAV0@$$QEAV0@@Z
        280  117 000025D0 ??4CLifeControl@@QEAAAEAV0@AEBV0@@Z
        281  118 00030510 ??4CLike@@QEAAAEAV0@AEBV0@@Z
        282  119 00042960 ??4CLimitControl@@QEAAAEAV0@AEBV0@@Z
        283  11A 00030DF0 ??4CMRCICompression@@QEAAAEAV0@AEBV0@@Z
        284  11B 00024580 ??4CMRCIControl@@QEAAAEAV0@$$QEAV0@@Z
        285  11C 00024580 ??4CMRCIControl@@QEAAAEAV0@AEBV0@@Z
        286  11D 000025D0 ??4CMUILocale@@QEAAAEAV0@$$QEAV0@@Z
        287  11E 000025D0 ??4CMUILocale@@QEAAAEAV0@AEBV0@@Z
        288  11F 00023720 ??4CMUILocaleList@@QEAAAEAV0@AEBV0@@Z
        289  120 00022B40 ??4CMemoryLog@@QEAAAEAV0@$$QEAV0@@Z
        290  121 00022B80 ??4CMemoryLog@@QEAAAEAV0@AEBV0@@Z
        291  122 00042970 ??4CMinMaxLimitControl@@QEAAAEAV0@$$QEAV0@@Z
        292  123 00042970 ??4CMinMaxLimitControl@@QEAAAEAV0@AEBV0@@Z
        293  124 00039D60 ??4CNtAce@@QEAAAEAV0@AEBV0@@Z
        294  125 00039DD0 ??4CNtAcl@@QEAAAEAV0@AEBV0@@Z
        295  126 000025D0 ??4CNtSecurity@@QEAAAEAV0@$$QEAV0@@Z
        296  127 000025D0 ??4CNtSecurity@@QEAAAEAV0@AEBV0@@Z
        297  128 000056B0 ??4CNtSecurityDescriptor@@QEAAAEAV0@AEAV0@@Z
        298  129 00009810 ??4CNtSid@@QEAAAEAV0@AEBV0@@Z
        299  12A 000025D0 ??4CPersistentConfig@@QEAAAEAV0@$$QEAV0@@Z
        300  12B 000025D0 ??4CPersistentConfig@@QEAAAEAV0@AEBV0@@Z
        301  12C 00010A80 ??4CPropertyName@@QEAAXAEBU_tag_WbemPropertyName@@@Z
        302  12D 000106A0 ??4CPropertyName@@QEAAXAEBV0@@Z
        303  12E 000025D0 ??4CPublishWMIOperationEvent@@QEAAAEAV0@AEBV0@@Z
        304  12F 000025D0 ??4CQl1ParseSink@@QEAAAEAV0@$$QEAV0@@Z
        305  130 000025D0 ??4CQl1ParseSink@@QEAAAEAV0@AEBV0@@Z
        306  131 000429F0 ??4CRegistryMinMaxLimitControl@@QEAAAEAV0@$$QEAV0@@Z
        307  132 000429F0 ??4CRegistryMinMaxLimitControl@@QEAAAEAV0@AEBV0@@Z
        308  133 00034380 ??4CSafeArray@@QEAAAEAV0@AEAV0@@Z
        309  134 000237C0 ??4CSmallArrayBlob@@QEAAAEAV0@$$QEAV0@@Z
        310  135 00023700 ??4CSmallArrayBlob@@QEAAAEAV0@AEBV0@@Z
        311  136 0002DFA0 ??4CStaticCritSec@@QEAAAEAV0@AEBV0@@Z
