Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\libcrypto.dll

File Type: DLL

  Section contains the following exports for libcrypto.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        3477 number of functions
        3477 number of names

    ordinal hint RVA      name

        505  1F8 00039AA0 BUF_strlcpy
        506  1F9 00039AB0 BUF_strndup
        507  1FA 0003A190 CAST_cbc_encrypt
        508  1FB 00039EC0 CAST_cfb64_encrypt
        509  1FC 0003A6B0 CAST_decrypt
        510  1FD 0003A0D0 CAST_ecb_encrypt
        511  1FE 0003AB90 CAST_encrypt
        512  1FF 0003B060 CAST_ofb64_encrypt
        513  200 0003B240 CAST_set_key
        514  201 000FD978 CBIGNUM_it
        515  202 000C80D0 CERTIFICATEPOLICIES_free
        516  203 0013BE60 CERTIFICATEPOLICIES_it
        517  204 000C80E0 CERTIFICATEPOLICIES_new
        518  205 0003DE40 CMAC_CTX_cleanup
        519  206 0003DEB0 CMAC_CTX_copy
        520  207 0003DF70 CMAC_CTX_free
        521  208 0003DFE0 CMAC_CTX_get0_cipher_ctx
        522  209 0003DFF0 CMAC_CTX_new
        523  20A 0003E030 CMAC_Final
        524  20B 0003E170 CMAC_Init
        525  20C 0003E320 CMAC_Update
        526  20D 0003E450 CMAC_resume
        527  20E 0003E610 COMP_CTX_free
        528  20F 0003E640 COMP_CTX_new
        529  210 0003E6A0 COMP_compress_block
        530  211 0003E6F0 COMP_expand_block
        531  212 0003E5B0 COMP_rle
        532  213 0003E5C0 COMP_zlib
        533  214 00007F40 COMP_zlib_cleanup
        534  215 0003FAF0 CONF_dump_bio
        535  216 0003FB40 CONF_dump_fp
        536  217 0003FBE0 CONF_free
        537  218 00040590 CONF_get1_default_config_file
        538  219 0003FC30 CONF_get_number
        539  21A 0003FDC0 CONF_get_section
        540  21B 0003FE50 CONF_get_string
        541  21C 000405D0 CONF_imodule_get_flags
        542  21D 0007C860 CONF_imodule_get_module
        543  21E 00010200 CONF_imodule_get_name
        544  21F 000405E0 CONF_imodule_get_usr_data
        545  220 000B4F40 CONF_imodule_get_value
        546  221 000405F0 CONF_imodule_set_flags
        547  222 00040600 CONF_imodule_set_usr_data
        548  223 0003FF40 CONF_load
        549  224 0003FFD0 CONF_load_bio
        550  225 00040040 CONF_load_fp
        551  226 00040610 CONF_module_add
        552  227 00065730 CONF_module_get_usr_data
        553  228 000BC280 CONF_module_set_usr_data
        554  229 00040640 CONF_modules_finish
        555  22A 000406E0 CONF_modules_free
        556  22B 00040790 CONF_modules_load
        557  22C 00040880 CONF_modules_load_file
        558  22D 000409F0 CONF_modules_unload
        559  22E 00040AB0 CONF_parse_list
        560  22F 000400D0 CONF_set_default_method
        561  230 000400E0 CONF_set_nconf
        562  231 000C9260 CRL_DIST_POINTS_free
        563  232 0013C3A0 CRL_DIST_POINTS_it
        564  233 000C9270 CRL_DIST_POINTS_new
        565  234 00006480 CRYPTO_THREADID_cmp
        566  235 00006490 CRYPTO_THREADID_cpy
        567  236 000064A0 CRYPTO_THREADID_current
        568  237 00006550 CRYPTO_THREADID_get_callback
        569  238 0001C4A0 CRYPTO_THREADID_hash
        570  239 00006560 CRYPTO_THREADID_set_callback
        571  23A 00006580 CRYPTO_THREADID_set_numeric
        572  23B 00006590 CRYPTO_THREADID_set_pointer
        573  23C 00006610 CRYPTO_add_lock
        574  23D 00085970 CRYPTO_cbc128_decrypt
        575  23E 00085C10 CRYPTO_cbc128_encrypt
        576  23F 00085DD0 CRYPTO_ccm128_aad
