Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\Tabbtn.dll

File Type: DLL

  Section contains the following exports for TabBtn.dll

    00000000 characteristics
    27A831F5 time date stamp
        0.00 version
           1 ordinal base
         225 number of functions
         225 number of names

    ordinal hint RVA      name

        148   91 00004DA0 ?OnActionAppCommand@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        149   92 00004EC0 ?OnActionContextMenu@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        150   93 00004F90 ?OnActionDisplayOff@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        151   94 00005050 ?OnActionLaunchApp@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        152   95 000052C0 ?OnActionMouseWheel@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        153   96 000053F0 ?OnActionSendKey@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        154   97 00005600 ?OnActionSetOrientation@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        155   98 00005730 ?OnActionUnknown@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        156   99 00005910 ?OnActionWindowsFlip3d@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        157   9A 00005A00 ?OnActionWindowsFlip@CButtonMonitor@@AEAAJPEAVCButtonAction@@HH@Z
        158   9B 00005AD0 ?OnButtonDown@CButtonMonitor@@AEAAX_K_J@Z
        159   9C 00005C70 ?OnButtonUp@CButtonMonitor@@AEAAX_K_J@Z
        160   9D 00005DD0 ?OnDisplayChange@CButtonMonitor@@AEAAX_K_J@Z
        161   9E 00005E10 ?OnFnKeyTimer@CButtonMonitor@@AEAAXXZ
        162   9F 00005E80 ?OnHoldTimer@CButtonMonitor@@AEAAXXZ
        163   A0 00006080 ?OnInput@CButtonMonitor@@AEAAX_K_J@Z
        164   A1 00006150 ?OnMessage@CButtonMonitor@@QEAAXI_K_J@Z
        165   A2 00006240 ?OnRepeatTimer@CButtonMonitor@@AEAAXXZ
        166   A3 000063A0 ?OnSettingChange@CButtonMonitor@@AEAAX_K_J@Z
        167   A4 00006470 ?OnTimer@CButtonMonitor@@AEAAX_K_J@Z
        168   A5 00006560 ?ProcessAction@CButtonMonitor@@AEAAJKH@Z
        169   A6 00006920 ?ProcessEvent@CButtonMonitor@@AEAAJKH@Z
        170   A7 0000AC00 ?RegReadActions@CButtonConfig@@QEAAXPEAUHKEY__@@PEAVCButtonSetting@@H@Z
        171   A8 0000B280 ?RegReadAndAllocate@CButtonConfig@@SAJPEAUHKEY__@@PEBGPEAKPEAPEAE2@Z
        172   A9 0000B4C0 ?RegReadButtonSetting@CButtonConfig@@QEAAJPEAUHKEY__@@HH@Z
        173   AA 0000B8F0 ?RegReadButtonsSettings@CButtonConfig@@QEAAJXZ
        174   AB 00001330 ?RegReadDisplayOrientations@CButtonConfig@@QEAAJXZ
        175   AC 0000BB80 ?RegReadOrientationSeq@CButtonConfig@@QEAAJXZ
        176   AD 00001720 ?RegisterButtonDevices@CButtonMonitor@@QEAAJXZ
        177   AE 00001650 ?RegisterForPopups@CButtonMonitor@@AEAAJXZ
        178   AF 000084A0 ?RegisterHidBtnDevice@CHidButton@@QEAAPEAU_hidbtndev@@PEAXPEAK@Z
        179   B0 00006BF0 ?ReleaseDownButtons@CButtonMonitor@@AEAAJXZ
        180   B1 00006CC0 ?ReleaseRepeatOrHoldButton@CButtonMonitor@@AEAAJXZ
        181   B2 00006DC0 ?Remove@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAAHAEBQEAUACTION@@@Z
        182   B3 00006DC0 ?Remove@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAAHAEBQEAVCButtonAction@@@Z
        183   B4 00006DC0 ?Remove@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAAHAEBQEAVCButtonSetting@@@Z
        184   B5 00006DC0 ?Remove@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAAHAEBQEAVCOrientation@@@Z
        185   B6 00006DF0 ?Remove@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAAHAEBK@Z
        186   B7 00006E20 ?RemoveAll@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAAXXZ
        187   B8 00006E20 ?RemoveAll@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAAXXZ
        188   B9 00006E20 ?RemoveAll@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAAXXZ
        189   BA 00006E20 ?RemoveAll@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAAXXZ
        190   BB 00006E50 ?RemoveAll@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAAXXZ
        191   BC 00006E90 ?RemoveAt@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAAHH@Z
        192   BD 00006E90 ?RemoveAt@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAAHH@Z
        193   BE 00006E90 ?RemoveAt@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAAHH@Z
        194   BF 00006E90 ?RemoveAt@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAAHH@Z
        195   C0 00006F30 ?RemoveAt@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAAHH@Z
        196   C1 0000BD80 ?ResetDeprecatedAction@CButtonConfig@@AEAAXPEAVCButtonAction@@@Z
        197   C2 00007070 ?ReverseLookup@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEBAKAEBQEAVCButtonImages@@@Z
        198   C3 0000BEA0 ?SaveSettings@CButtonConfig@@QEAAJXZ
        199   C4 000070A0 ?SendAppCommand@CButtonMonitor@@AEAAJG@Z
        200   C5 00007280 ?SendModKeys@CButtonMonitor@@CAXEH@Z
        201   C6 00007300 ?SendVKey@CButtonMonitor@@CAXEEH@Z
        202   C7 0000C320 ?Set@CButtonAction@@QEAAJPEBV1@@Z
        203   C8 000073F0 ?SetAt@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAAHAEBKAEBQEAVCButtonImages@@@Z
        204   C9 00007450 ?SetAtIndex@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAAHHAEBQEAUACTION@@@Z
        205   CA 00007450 ?SetAtIndex@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAAHHAEBQEAVCButtonAction@@@Z
        206   CB 00007450 ?SetAtIndex@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAAHHAEBQEAVCButtonSetting@@@Z
        207   CC 00007450 ?SetAtIndex@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAAHHAEBQEAVCOrientation@@@Z
        208   CD 00007480 ?SetAtIndex@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAAHHAEBKAEBQEAVCButtonImages@@@Z
        209   CE 0000C400 ?SetData@CButtonAction@@QEAAJQEAEK@Z
        210   CF 0000C4B0 ?SetDataDWORD@CButtonAction@@QEAAJK@Z
        211   D0 000074B0 ?SetDisplayOrientation@CButtonMonitor@@AEAAJH@Z
        212   D1 00007830 ?SetDisplayPower@CButtonMonitor@@AEAAXH@Z
        213   D2 0000C540 ?SetId@CButtonAction@@QEAAXK@Z
        214   D3 0000C590 ?ShouldButtonShowUI@CButtonSettings@@QEBAHH@Z
