Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\kernel.appcore.dll

File Type: DLL

  Section contains the following exports for AppCore.dll

    00000000 characteristics
    BE88784D time date stamp
        0.00 version
           1 ordinal base
         221 number of functions
         221 number of names

    ordinal hint RVA      name

        202   C9 00003710 SharedLocalIsEnabled
        203   CA 00003720 SubscribeStateChangeNotification
        204   CB 00003730 UnregisterStateChangeNotification
        205   CC 00003740 UnregisterStateLock
        206   CD 00003750 UnsubscribeStateChangeNotification
        207   CE 00003760 UpdatePackageStatus
        208   CF 00003770 UpdatePackageStatusForUser
        209   D0 00003780 UpdatePackageStatusForUserSid
        210   D1 00003790 VerifyApplicationUserModelId
        211   D2 000037A0 VerifyApplicationUserModelIdA
        212   D3 000037B0 VerifyPackageFamilyName
        213   D4 000037C0 VerifyPackageFamilyNameA
        214   D5 000037D0 VerifyPackageFullName
        215   D6 000037E0 VerifyPackageFullNameA
        216   D7 000037F0 VerifyPackageId
        217   D8 00003800 VerifyPackageIdA
        218   D9 00003810 VerifyPackageRelativeApplicationId
        219   DA 00003820 VerifyPackageRelativeApplicationIdA
        220   DB 00003830 WriteStateAtomValue
        221   DC 00003840 WriteStateContainerValue

  Summary

        1000 .data
        1000 .didat
        1000 .pdata
        7000 .rdata
        1000 .reloc
        1000 .rsrc
        4000 .text
