Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    BCDE805B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        249   F9 00057F10 VarI1FromDate
        256   FA 00061DA0 VarI1FromDec
        252   FB 00057F20 VarI1FromDisp
        245   FC 00057F70 VarI1FromI2
        246   FD 00057FA0 VarI1FromI4
        376   FE 00057FC0 VarI1FromI8
        247   FF 00057FE0 VarI1FromR4
        248  100 00057FF0 VarI1FromR8
        251  101 00058030 VarI1FromStr
        244  102 00058060 VarI1FromUI1
        254  103 00058080 VarI1FromUI2
        255  104 000580A0 VarI1FromUI4
        377  105 000580C0 VarI1FromUI8
         56  106 000580E0 VarI2FromBool
         52  107 00065870 VarI2FromCy
         53  108 000580F0 VarI2FromDate
        208  109 00061E20 VarI2FromDec
         55  10A 00058100 VarI2FromDisp
        205  10B 00058150 VarI2FromI1
         49  10C 00058160 VarI2FromI4
        346  10D 00058180 VarI2FromI8
         50  10E 000581B0 VarI2FromR4
         51  10F 000581C0 VarI2FromR8
         54  110 00058200 VarI2FromStr
         48  111 00058290 VarI2FromUI1
        206  112 000582A0 VarI2FromUI2
        207  113 000582C0 VarI2FromUI4
        347  114 000582E0 VarI2FromUI8
         66  115 00058300 VarI4FromBool
         62  116 000658C0 VarI4FromCy
         63  117 00058310 VarI4FromDate
        212  118 00061EA0 VarI4FromDec
         65  119 00058320 VarI4FromDisp
        209  11A 00058370 VarI4FromI1
         59  11B 00058300 VarI4FromI2
        348  11C 00058380 VarI4FromI8
         60  11D 000583B0 VarI4FromR4
         61  11E 000583C0 VarI4FromR8
         64  11F 000056C0 VarI4FromStr
         58  120 00058400 VarI4FromUI1
        210  121 00058410 VarI4FromUI2
        211  122 00058420 VarI4FromUI4
        349  123 00058440 VarI4FromUI8
        341  124 00058460 VarI8FromBool
        337  125 000659D0 VarI8FromCy
        338  126 00058470 VarI8FromDate
