Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wininet.dll

File Type: DLL

  Section contains the following exports for WININET.dll

    00000000 characteristics
    EF02D3F2 time date stamp
        0.00 version
         101 ordinal base
         326 number of functions
         298 number of names

    ordinal hint RVA      name

        358   EF 00021C50 InternetWriteFile
        359   F0 0013C010 InternetWriteFileExA
        360   F1 0013C010 InternetWriteFileExW
        361   F2 0005ABB0 IsHostInProxyBypassList
        362   F3 001A6C70 IsUrlCacheEntryExpiredA
        363   F4 001A6DD0 IsUrlCacheEntryExpiredW
        364   F5 0013C010 LoadUrlCacheContent
        365   F6 0018A7A0 ParseX509EncodedCertificateForListBoxEntry
        366   F7 0001F610 PrivacyGetZonePreferenceW
        367   F8 0001F3C0 PrivacySetZonePreferenceW
        368   F9 001A6F40 ReadUrlCacheEntryStream
        369   FA 001A7060 ReadUrlCacheEntryStreamEx
        370   FB 000CBEE0 RegisterUrlCacheNotification
        371   FC 00140220 ResumeSuspendedDownload
        372   FD 001A7180 RetrieveUrlCacheEntryFileA
        373   FE 001A73D0 RetrieveUrlCacheEntryFileW
        374   FF 001A75F0 RetrieveUrlCacheEntryStreamA
        375  100 001A7830 RetrieveUrlCacheEntryStreamW
        376  101 000CBA00 RunOnceUrlCache
        377  102 001A7A70 SetUrlCacheConfigInfoA
        378  103 001A7BD0 SetUrlCacheConfigInfoW
        379  104 001A7CF0 SetUrlCacheEntryGroup
        380  105 001A7CF0 SetUrlCacheEntryGroupA
        381  106 001A7EE0 SetUrlCacheEntryGroupW
        382  107 00007DE0 SetUrlCacheEntryInfoA
        383  108 001A80E0 SetUrlCacheEntryInfoW
        384  109 001A82E0 SetUrlCacheGroupAttributeA
        385  10A 001A84F0 SetUrlCacheGroupAttributeW
        386  10B 001A86E0 SetUrlCacheHeaderData
        387  10C 0018A7A0 ShowCertificate
        388  10D 0018A7A0 ShowClientAuthCerts
