Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

        360  15F 000A1420 NtFreeUserPhysicalPages
        361  160 0009FB10 NtFreeVirtualMemory
        362  161 000A1440 NtFreezeRegistry
        363  162 000A1460 NtFreezeTransactions
        364  163 0009FE70 NtFsControlFile
        365  164 000A1480 NtGetCachedSigningLevel
        366  165 000A14A0 NtGetCompleteWnfStateSubscription
        367  166 000A14C0 NtGetContextThread
        368  167 000A14E0 NtGetCurrentProcessorNumber
        369  168 000A1500 NtGetCurrentProcessorNumberEx
        370  169 000A1520 NtGetDevicePowerState
        371  16A 000A1540 NtGetMUIRegistryInfo
        372  16B 000A1560 NtGetNextProcess
        373  16C 000A1580 NtGetNextThread
        374  16D 000A15A0 NtGetNlsSectionPtr
        375  16E 000A15C0 NtGetNotificationResourceManager
        376  16F 000E6CB0 NtGetTickCount
        377  170 000A15E0 NtGetWriteWatch
        378  171 000A1600 NtImpersonateAnonymousToken
        379  172 0009FB30 NtImpersonateClientOfPort
        380  173 000A1620 NtImpersonateThread
        381  174 000A1640 NtInitializeEnclave
        382  175 000A1660 NtInitializeNlsFiles
        383  176 000A1680 NtInitializeRegistry
        384  177 000A16A0 NtInitiatePowerAction
        385  178 000A0130 NtIsProcessInJob
        386  179 000A16C0 NtIsSystemResumeAutomatic
        387  17A 000A16E0 NtIsUILanguageComitted
        388  17B 000A1700 NtListenPort
        389  17C 000A1720 NtLoadDriver
        390  17D 000A1740 NtLoadEnclaveData
        391  17E 000A1760 NtLoadKey
        392  17F 000A1780 NtLoadKey2
        393  180 000A17A0 NtLoadKeyEx
        394  181 000A17C0 NtLockFile
        395  182 000A17E0 NtLockProductActivationKeys
        396  183 000A1800 NtLockRegistryKey
        397  184 000A1820 NtLockVirtualMemory
        398  185 000A1840 NtMakePermanentObject
        399  186 000A1860 NtMakeTemporaryObject
        400  187 000A1880 NtManageHotPatch
        401  188 000A18A0 NtManagePartition
        402  189 000A18C0 NtMapCMFModule
        403  18A 000A18E0 NtMapUserPhysicalPages
        404  18B 0009F7B0 NtMapUserPhysicalPagesScatter
        405  18C 0009FC50 NtMapViewOfSection
        406  18D 000A1900 NtMapViewOfSectionEx
        407  18E 000A1920 NtModifyBootEntry
        408  18F 000A1940 NtModifyDriverEntry
        409  190 000A1960 NtNotifyChangeDirectoryFile
        410  191 000A1980 NtNotifyChangeDirectoryFileEx
        411  192 000A19A0 NtNotifyChangeKey
        412  193 000A19C0 NtNotifyChangeMultipleKeys
        413  194 000A19E0 NtNotifyChangeSession
        414  195 000A0250 NtOpenDirectoryObject
        415  196 000A1A00 NtOpenEnlistment
        416  197 0009FF50 NtOpenEvent
        417  198 000A1A20 NtOpenEventPair
